table_name,check,passed,failed_rows
FCT_OCCUPANCY_SNAPSHOT,occupancy_snapshot_id_unique,True,0
FCT_OCCUPANCY_SNAPSHOT,no_direct_identifiers,True,0
FCT_MODEL_PREDICTION_INPATIENT,model_prediction_id_unique,True,0
FCT_MODEL_PREDICTION_INPATIENT,no_direct_identifiers,True,0
FCT_STAFFING_GAP_SYNTH,staffing_gap_id_unique,True,0
FCT_STAFFING_GAP_SYNTH,no_direct_identifiers,True,0
FCT_STAFFING_ROSTER_SYNTH,staffing_roster_id_unique,True,0
FCT_STAFFING_ROSTER_SYNTH,no_direct_identifiers,True,0
FCT_WORKLOAD_ACUITY_SYNTH,workload_id_unique,True,0
FCT_WORKLOAD_ACUITY_SYNTH,no_direct_identifiers,True,0
FCT_SAFETY_SIGNAL_SYNTH,safety_signal_id_unique,True,0
FCT_SAFETY_SIGNAL_SYNTH,no_direct_identifiers,True,0
FCT_DISCHARGE_BARRIER,discharge_barrier_id_unique,True,0
FCT_DISCHARGE_BARRIER,no_direct_identifiers,True,0
FCT_WAITLIST_SNAPSHOT,waitlist_snapshot_id_unique,True,0
FCT_WAITLIST_SNAPSHOT,no_direct_identifiers,True,0
FCT_REFERRAL,referral_id_unique,True,0
FCT_REFERRAL,no_direct_identifiers,True,0
FCT_REFERRAL_TRIAGE,referral_triage_id_unique,True,0
FCT_REFERRAL_TRIAGE,no_direct_identifiers,True,0
FCT_CLINIC_SLOT,clinic_slot_id_unique,True,0
FCT_CLINIC_SLOT,no_direct_identifiers,True,0
FCT_CLINIC_TEMPLATE_CAPACITY,clinic_template_capacity_id_unique,True,0
FCT_CLINIC_TEMPLATE_CAPACITY,no_direct_identifiers,True,0
FCT_APPOINTMENT,appointment_id_unique,True,0
FCT_APPOINTMENT,no_direct_identifiers,True,0
FCT_MODEL_PREDICTION_AMBULATORY,model_prediction_id_unique,True,0
FCT_MODEL_PREDICTION_AMBULATORY,no_direct_identifiers,True,0
FCT_NO_SHOW_OR_LATE_CANCEL_SYNTH,no_show_late_cancel_id_unique,True,0
FCT_NO_SHOW_OR_LATE_CANCEL_SYNTH,no_direct_identifiers,True,0
FCT_RESPIRATORY_VIRUS_ACTIVITY_OPEN,open_resp_id_unique,True,0
FCT_RESPIRATORY_VIRUS_ACTIVITY_OPEN,no_direct_identifiers,True,0
FCT_WEATHER_AND_AIR_QUALITY_OPEN,open_weather_id_unique,True,0
FCT_WEATHER_AND_AIR_QUALITY_OPEN,no_direct_identifiers,True,0
FCT_POPULATION_BY_AGE_REGION_OPEN,open_population_id_unique,True,0
FCT_POPULATION_BY_AGE_REGION_OPEN,no_direct_identifiers,True,0
FCT_SCHOOL_CALENDAR_OR_HOLIDAY_OPEN,open_calendar_id_unique,True,0
FCT_SCHOOL_CALENDAR_OR_HOLIDAY_OPEN,no_direct_identifiers,True,0
FCT_COMMUNITY_DEMAND_PROXY_OPEN,open_resp_id_unique,True,0
FCT_COMMUNITY_DEMAND_PROXY_OPEN,no_direct_identifiers,True,0
FCT_PUBLIC_HEALTH_ALERT_OR_SEASONAL_EVENT_OPEN,open_resp_id_unique,True,0
FCT_PUBLIC_HEALTH_ALERT_OR_SEASONAL_EVENT_OPEN,no_direct_identifiers,True,0
FCT_SIMULATION_RUN_INPATIENT,simulation_run_id_unique,True,0
FCT_SIMULATION_RUN_INPATIENT,no_direct_identifiers,True,0
FCT_SIMULATION_RESULT_INPATIENT,simulation_result_id_unique,True,0
FCT_SIMULATION_RESULT_INPATIENT,no_direct_identifiers,True,0
FCT_SIMULATION_RUN_AMBULATORY,simulation_run_id_unique,True,0
FCT_SIMULATION_RUN_AMBULATORY,no_direct_identifiers,True,0
FCT_SIMULATION_RESULT_AMBULATORY,simulation_result_id_unique,True,0
FCT_SIMULATION_RESULT_AMBULATORY,no_direct_identifiers,True,0
FCT_ADT_EVENT,fct_adt_event_id_unique,True,0
FCT_ADT_EVENT,no_direct_identifiers,True,0
FCT_INPATIENT_ENCOUNTER,fct_inpatient_encounter_id_unique,True,0
FCT_INPATIENT_ENCOUNTER,no_direct_identifiers,True,0
FCT_ED_TO_INPATIENT_FLOW,fct_ed_to_inpatient_flow_id_unique,True,0
FCT_ED_TO_INPATIENT_FLOW,no_direct_identifiers,True,0
FCT_OR_CASE,fct_or_case_id_unique,True,0
FCT_OR_CASE,no_direct_identifiers,True,0
FCT_PACU_AND_PROCEDURAL_RECOVERY,fct_pacu_and_procedural_recovery_id_unique,True,0
FCT_PACU_AND_PROCEDURAL_RECOVERY,no_direct_identifiers,True,0
FCT_TRANSFER_REQUEST,fct_transfer_request_id_unique,True,0
FCT_TRANSFER_REQUEST,no_direct_identifiers,True,0
FCT_DISCHARGE_READINESS,fct_discharge_readiness_id_unique,True,0
FCT_DISCHARGE_READINESS,no_direct_identifiers,True,0
FCT_LENGTH_OF_STAY,fct_length_of_stay_id_unique,True,0
FCT_LENGTH_OF_STAY,no_direct_identifiers,True,0
FCT_LAB_ORDER_TURNAROUND_SYNTH,fct_lab_order_turnaround_synth_id_unique,True,0
FCT_LAB_ORDER_TURNAROUND_SYNTH,no_direct_identifiers,True,0
FCT_IMAGING_TURNAROUND_SYNTH,fct_imaging_turnaround_synth_id_unique,True,0
FCT_IMAGING_TURNAROUND_SYNTH,no_direct_identifiers,True,0
FCT_PHARMACY_DISCHARGE_MED_SYNTH,fct_pharmacy_discharge_med_synth_id_unique,True,0
FCT_PHARMACY_DISCHARGE_MED_SYNTH,no_direct_identifiers,True,0
FCT_TRANSPORT_OR_PORTERING_SYNTH,fct_transport_or_portering_synth_id_unique,True,0
FCT_TRANSPORT_OR_PORTERING_SYNTH,no_direct_identifiers,True,0
FCT_READMISSION_SYNTH,fct_readmission_synth_id_unique,True,0
FCT_READMISSION_SYNTH,no_direct_identifiers,True,0
FCT_PROVIDER_AVAILABILITY_SYNTH,fct_provider_availability_synth_id_unique,True,0
FCT_PROVIDER_AVAILABILITY_SYNTH,no_direct_identifiers,True,0
FCT_OVERDUE_FOLLOWUP_SYNTH,fct_overdue_followup_synth_id_unique,True,0
FCT_OVERDUE_FOLLOWUP_SYNTH,no_direct_identifiers,True,0
FCT_DIAGNOSTIC_QUEUE_SYNTH,fct_diagnostic_queue_synth_id_unique,True,0
FCT_DIAGNOSTIC_QUEUE_SYNTH,no_direct_identifiers,True,0
FCT_PROCEDURE_QUEUE_SYNTH,fct_procedure_queue_synth_id_unique,True,0
FCT_PROCEDURE_QUEUE_SYNTH,no_direct_identifiers,True,0
FCT_VIRTUAL_CARE_SYNTH,fct_virtual_care_synth_id_unique,True,0
FCT_VIRTUAL_CARE_SYNTH,no_direct_identifiers,True,0
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH,fct_post_discharge_followup_synth_id_unique,True,0
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH,no_direct_identifiers,True,0
FCT_BED_CENSUS_HOURLY,census_non_negative,True,0
FCT_BED_CENSUS_HOURLY,physical_beds_non_negative,True,0
FCT_BED_CENSUS_HOURLY,staffed_beds_non_negative,True,0
FCT_BED_CENSUS_HOURLY,effective_beds_non_negative,True,0
FCT_WAITLIST_SNAPSHOT,waitlist_total_non_negative,True,0
FCT_WAITLIST_SNAPSHOT,median_wait_days_non_negative,True,0
FCT_WAITLIST_SNAPSHOT,p90_wait_days_non_negative,True,0
