program_id,program,horizon_weeks,waitlist_total,third_next_available_days,urgent_breach_risk,diagnostic_readiness,source_ids
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,26,1956,72,0.32,0.894,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,0,1210,91,0.449,0.69,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,1,1230,92,0.461,0.702,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,2,1251,92,0.473,0.714,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,4,1274,92,0.485,0.726,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,8,1339,93,0.497,0.738,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,13,1423,95,0.509,0.75,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,18,1508,96,0.521,0.762,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_MENTAL_HEALTH,Mental health,26,1654,100,0.533,0.774,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,0,1190,76,0.371,0.64,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,1,1209,76,0.383,0.652,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,2,1228,77,0.395,0.664,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,4,1249,77,0.407,0.676,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,8,1308,78,0.419,0.688,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,13,1386,80,0.431,0.7,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,18,1464,82,0.443,0.712,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_DIAGNOSTIC_PROCEDURES,Diagnostic procedures,26,1599,85,0.455,0.724,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
