week_start,site_id,program,new_referrals,urgent_referrals,triage_median_days,referral_completeness_pct,duplicate_or_leakage_synth
2026-06-08,SITE_PROV_NETWORK,complex_care,27,4,1.3,0.923,0
2026-06-15,SITE_PROV_NETWORK,complex_care,28,6,5.2,0.828,0
2025-06-16,SITE_PROV_NETWORK,mental_health,44,5,6.2,0.99,2
2025-06-23,SITE_PROV_NETWORK,mental_health,29,3,2.5,0.9,0
2025-06-30,SITE_PROV_NETWORK,mental_health,33,5,0.7,0.919,0
2025-07-07,SITE_PROV_NETWORK,mental_health,19,3,7.4,0.863,0
2025-07-14,SITE_PROV_NETWORK,mental_health,23,4,2.3,0.908,0
2025-07-21,SITE_PROV_NETWORK,mental_health,23,4,2.2,0.868,0
2025-07-28,SITE_PROV_NETWORK,mental_health,32,5,0.6,0.99,0
2025-08-04,SITE_PROV_NETWORK,mental_health,25,4,2.1,0.804,0
2025-08-11,SITE_PROV_NETWORK,mental_health,20,5,0.8,0.899,0
2025-08-18,SITE_PROV_NETWORK,mental_health,16,3,3.3,0.969,0
2025-08-25,SITE_PROV_NETWORK,mental_health,13,3,2.7,0.843,1
2025-09-01,SITE_PROV_NETWORK,mental_health,33,10,1.2,0.858,1
2025-09-08,SITE_PROV_NETWORK,mental_health,19,2,1.8,0.914,0
2025-09-15,SITE_PROV_NETWORK,mental_health,16,3,1.7,0.949,0
2025-09-22,SITE_PROV_NETWORK,mental_health,14,2,0.5,0.972,0
2025-09-29,SITE_PROV_NETWORK,mental_health,26,6,5.2,0.879,0
2025-10-06,SITE_PROV_NETWORK,mental_health,34,7,2.5,0.92,0
2025-10-13,SITE_PROV_NETWORK,mental_health,17,4,4.1,0.949,0
2025-10-20,SITE_PROV_NETWORK,mental_health,23,5,3.3,0.923,0
2025-10-27,SITE_PROV_NETWORK,mental_health,33,5,4.2,0.945,0
2025-11-03,SITE_PROV_NETWORK,mental_health,18,3,1.7,0.928,1
2025-11-10,SITE_PROV_NETWORK,mental_health,23,4,1.6,0.847,1
2025-11-17,SITE_PROV_NETWORK,mental_health,27,6,1.0,0.866,1
2025-11-24,SITE_PROV_NETWORK,mental_health,32,3,1.7,0.932,1
2025-12-01,SITE_PROV_NETWORK,mental_health,19,3,3.6,0.863,1
2025-12-08,SITE_PROV_NETWORK,mental_health,24,6,1.9,0.901,0
2025-12-15,SITE_PROV_NETWORK,mental_health,28,7,1.7,0.952,3
2025-12-22,SITE_PROV_NETWORK,mental_health,15,2,2.3,0.954,0
2025-12-29,SITE_PROV_NETWORK,mental_health,28,7,2.8,0.892,0
2026-01-05,SITE_PROV_NETWORK,mental_health,30,6,1.1,0.886,2
2026-01-12,SITE_PROV_NETWORK,mental_health,26,2,1.3,0.902,0
2026-01-19,SITE_PROV_NETWORK,mental_health,22,3,1.0,0.946,0
2026-01-26,SITE_PROV_NETWORK,mental_health,19,3,2.3,0.915,0
2026-02-02,SITE_PROV_NETWORK,mental_health,30,2,0.9,0.904,0
2026-02-09,SITE_PROV_NETWORK,mental_health,36,6,3.2,0.881,0
2026-02-16,SITE_PROV_NETWORK,mental_health,16,2,4.4,0.95,1
2026-02-23,SITE_PROV_NETWORK,mental_health,28,5,8.0,0.861,1
2026-03-02,SITE_PROV_NETWORK,mental_health,24,6,4.4,0.794,0
2026-03-09,SITE_PROV_NETWORK,mental_health,30,5,5.7,0.89,0
2026-03-16,SITE_PROV_NETWORK,mental_health,19,5,1.7,0.929,0
2026-03-23,SITE_PROV_NETWORK,mental_health,23,1,2.2,0.954,0
2026-03-30,SITE_PROV_NETWORK,mental_health,21,3,4.1,0.927,0
2026-04-06,SITE_PROV_NETWORK,mental_health,37,8,0.6,0.772,0
2026-04-13,SITE_PROV_NETWORK,mental_health,18,3,3.8,0.894,0
2026-04-20,SITE_PROV_NETWORK,mental_health,29,6,0.6,0.923,0
2026-04-27,SITE_PROV_NETWORK,mental_health,31,6,2.2,0.909,1
2026-05-04,SITE_PROV_NETWORK,mental_health,19,4,2.4,0.897,1
2026-05-11,SITE_PROV_NETWORK,mental_health,31,7,2.4,0.88,2
2026-05-18,SITE_PROV_NETWORK,mental_health,23,3,3.2,0.947,0
2026-05-25,SITE_PROV_NETWORK,mental_health,13,3,3.5,0.891,0
2026-06-01,SITE_PROV_NETWORK,mental_health,28,6,4.7,0.834,1
2026-06-08,SITE_PROV_NETWORK,mental_health,28,7,2.6,0.974,0
2026-06-15,SITE_PROV_NETWORK,mental_health,43,4,0.9,0.884,0
2025-06-16,SITE_PROV_NETWORK,diagnostic_procedures,19,4,1.1,0.858,0
2025-06-23,SITE_PROV_NETWORK,diagnostic_procedures,31,5,3.9,0.874,0
2025-06-30,SITE_PROV_NETWORK,diagnostic_procedures,25,4,2.4,0.99,0
2025-07-07,SITE_PROV_NETWORK,diagnostic_procedures,29,5,0.9,0.901,0
2025-07-14,SITE_PROV_NETWORK,diagnostic_procedures,29,7,7.2,0.982,0
2025-07-21,SITE_PROV_NETWORK,diagnostic_procedures,20,4,2.1,0.88,0
2025-07-28,SITE_PROV_NETWORK,diagnostic_procedures,19,2,3.3,0.889,0
2025-08-04,SITE_PROV_NETWORK,diagnostic_procedures,36,10,2.3,0.99,0
2025-08-11,SITE_PROV_NETWORK,diagnostic_procedures,15,3,2.7,0.914,0
2025-08-18,SITE_PROV_NETWORK,diagnostic_procedures,22,2,3.5,0.883,0
2025-08-25,SITE_PROV_NETWORK,diagnostic_procedures,19,4,6.4,0.939,0
2025-09-01,SITE_PROV_NETWORK,diagnostic_procedures,28,7,2.0,0.974,0
2025-09-08,SITE_PROV_NETWORK,diagnostic_procedures,31,5,1.0,0.977,1
2025-09-15,SITE_PROV_NETWORK,diagnostic_procedures,24,3,0.9,0.931,0
2025-09-22,SITE_PROV_NETWORK,diagnostic_procedures,18,1,4.5,0.926,3
2025-09-29,SITE_PROV_NETWORK,diagnostic_procedures,22,4,1.4,0.966,0
2025-10-06,SITE_PROV_NETWORK,diagnostic_procedures,22,3,3.4,0.889,0
2025-10-13,SITE_PROV_NETWORK,diagnostic_procedures,42,7,1.5,0.928,0
2025-10-20,SITE_PROV_NETWORK,diagnostic_procedures,26,4,2.5,0.892,0
2025-10-27,SITE_PROV_NETWORK,diagnostic_procedures,28,5,1.8,0.934,0
2025-11-03,SITE_PROV_NETWORK,diagnostic_procedures,38,5,0.5,0.825,0
2025-11-10,SITE_PROV_NETWORK,diagnostic_procedures,20,3,4.9,0.931,1
2025-11-17,SITE_PROV_NETWORK,diagnostic_procedures,22,3,1.1,0.852,0
2025-11-24,SITE_PROV_NETWORK,diagnostic_procedures,28,3,5.9,0.899,1
2025-12-01,SITE_PROV_NETWORK,diagnostic_procedures,19,3,4.9,0.92,0
2025-12-08,SITE_PROV_NETWORK,diagnostic_procedures,22,3,2.9,0.872,1
2025-12-15,SITE_PROV_NETWORK,diagnostic_procedures,30,6,2.1,0.898,1
2025-12-22,SITE_PROV_NETWORK,diagnostic_procedures,38,4,1.3,0.886,0
2025-12-29,SITE_PROV_NETWORK,diagnostic_procedures,21,2,0.5,0.873,1
2026-01-05,SITE_PROV_NETWORK,diagnostic_procedures,34,4,1.9,0.924,0
2026-01-12,SITE_PROV_NETWORK,diagnostic_procedures,33,6,5.4,0.891,1
2026-01-19,SITE_PROV_NETWORK,diagnostic_procedures,37,6,1.1,0.903,0
2026-01-26,SITE_PROV_NETWORK,diagnostic_procedures,20,3,1.6,0.878,0
2026-02-02,SITE_PROV_NETWORK,diagnostic_procedures,37,4,2.0,0.816,0
2026-02-09,SITE_PROV_NETWORK,diagnostic_procedures,24,2,5.8,0.902,0
2026-02-16,SITE_PROV_NETWORK,diagnostic_procedures,24,4,1.5,0.895,0
2026-02-23,SITE_PROV_NETWORK,diagnostic_procedures,30,5,7.9,0.903,1
2026-03-02,SITE_PROV_NETWORK,diagnostic_procedures,26,4,1.2,0.903,1
2026-03-09,SITE_PROV_NETWORK,diagnostic_procedures,24,3,3.8,0.904,0
2026-03-16,SITE_PROV_NETWORK,diagnostic_procedures,36,5,0.5,0.91,1
2026-03-23,SITE_PROV_NETWORK,diagnostic_procedures,23,3,4.2,0.945,0
2026-03-30,SITE_PROV_NETWORK,diagnostic_procedures,21,4,5.0,0.909,0
2026-04-06,SITE_PROV_NETWORK,diagnostic_procedures,24,5,1.6,0.989,0
2026-04-13,SITE_PROV_NETWORK,diagnostic_procedures,34,4,3.7,0.926,1
2026-04-20,SITE_PROV_NETWORK,diagnostic_procedures,37,6,3.2,0.906,1
2026-04-27,SITE_PROV_NETWORK,diagnostic_procedures,31,5,0.4,0.908,0
2026-05-04,SITE_PROV_NETWORK,diagnostic_procedures,31,5,9.6,0.962,0
2026-05-11,SITE_PROV_NETWORK,diagnostic_procedures,22,3,6.9,0.978,0
2026-05-18,SITE_PROV_NETWORK,diagnostic_procedures,32,5,1.1,0.886,0
2026-05-25,SITE_PROV_NETWORK,diagnostic_procedures,40,6,2.6,0.909,0
2026-06-01,SITE_PROV_NETWORK,diagnostic_procedures,28,6,0.2,0.895,0
2026-06-08,SITE_PROV_NETWORK,diagnostic_procedures,39,9,2.7,0.934,0
2026-06-15,SITE_PROV_NETWORK,diagnostic_procedures,24,4,0.9,0.944,0
