week_start,site_id,program,slots_available,slots_booked,completed_visits,cancelled,no_show_rate,late_cancel_rate,new_visit_share,room_constraint,provider_constraint,nurse_allied_constraint
2026-01-19,SITE_PROV_NETWORK,complex_care,35,38,32,0,0.097,0.035,0.283,0.216,0.26,0.152
2026-01-26,SITE_PROV_NETWORK,complex_care,22,24,19,0,0.132,0.021,0.403,0.257,0.122,0.083
2026-02-02,SITE_PROV_NETWORK,complex_care,53,56,49,0,0.075,0.03,0.461,0.111,0.215,0.134
2026-02-09,SITE_PROV_NETWORK,complex_care,36,40,32,0,0.113,0.019,0.327,0.174,0.23,0.109
2026-02-16,SITE_PROV_NETWORK,complex_care,22,23,20,0,0.071,0.032,0.367,0.233,0.111,0.198
2026-02-23,SITE_PROV_NETWORK,complex_care,43,47,38,0,0.108,0.034,0.284,0.203,0.184,0.163
2026-03-02,SITE_PROV_NETWORK,complex_care,32,35,29,0,0.105,0.058,0.512,0.139,0.224,0.045
2026-03-09,SITE_PROV_NETWORK,complex_care,23,25,20,0,0.135,0.035,0.389,0.224,0.374,0.166
2026-03-16,SITE_PROV_NETWORK,complex_care,23,24,21,0,0.069,0.01,0.481,0.142,0.253,0.123
2026-03-23,SITE_PROV_NETWORK,complex_care,27,28,25,0,0.06,0.022,0.472,0.266,0.278,0.206
2026-03-30,SITE_PROV_NETWORK,complex_care,39,42,36,0,0.083,0.05,0.5,0.266,0.206,0.17
2026-04-06,SITE_PROV_NETWORK,complex_care,50,54,46,0,0.085,0.027,0.539,0.131,0.111,0.151
2026-04-13,SITE_PROV_NETWORK,complex_care,37,40,34,0,0.085,0.033,0.545,0.184,0.212,0.22
2026-04-20,SITE_PROV_NETWORK,complex_care,52,56,48,0,0.084,0.044,0.344,0.097,0.166,0.188
2026-04-27,SITE_PROV_NETWORK,complex_care,26,28,24,0,0.092,0.018,0.457,0.254,0.201,0.177
2026-05-04,SITE_PROV_NETWORK,complex_care,24,25,22,0,0.068,0.017,0.491,0.227,0.278,0.13
2026-05-11,SITE_PROV_NETWORK,complex_care,31,33,28,0,0.081,0.013,0.541,0.135,0.189,0.135
2026-05-18,SITE_PROV_NETWORK,complex_care,24,26,21,0,0.13,0.023,0.467,0.093,0.223,0.103
2026-05-25,SITE_PROV_NETWORK,complex_care,22,24,20,0,0.102,0.061,0.432,0.323,0.1,0.126
2026-06-01,SITE_PROV_NETWORK,complex_care,36,36,35,0,0.025,0.024,0.475,0.161,0.142,0.17
2026-06-08,SITE_PROV_NETWORK,complex_care,31,33,29,0,0.077,0.024,0.363,0.204,0.401,0.046
2026-06-15,SITE_PROV_NETWORK,complex_care,50,54,45,0,0.098,0.017,0.52,0.248,0.25,0.142
2025-06-16,SITE_PROV_NETWORK,mental_health,41,45,35,0,0.135,0.026,0.429,0.179,0.292,0.081
2025-06-23,SITE_PROV_NETWORK,mental_health,29,31,26,0,0.103,0.028,0.497,0.202,0.374,0.221
2025-06-30,SITE_PROV_NETWORK,mental_health,40,44,35,0,0.132,0.032,0.448,0.152,0.301,0.075
2025-07-07,SITE_PROV_NETWORK,mental_health,52,57,46,0,0.116,0.0,0.508,0.138,0.161,0.099
2025-07-14,SITE_PROV_NETWORK,mental_health,30,33,27,0,0.106,0.035,0.491,0.076,0.274,0.11
2025-07-21,SITE_PROV_NETWORK,mental_health,38,42,34,0,0.115,0.04,0.505,0.233,0.127,0.111
2025-07-28,SITE_PROV_NETWORK,mental_health,51,56,45,0,0.12,0.043,0.402,0.232,0.26,0.101
2025-08-04,SITE_PROV_NETWORK,mental_health,50,55,42,0,0.154,0.036,0.427,0.195,0.212,0.193
2025-08-11,SITE_PROV_NETWORK,mental_health,31,33,28,0,0.081,0.069,0.428,0.309,0.294,0.112
2025-08-18,SITE_PROV_NETWORK,mental_health,50,55,44,0,0.122,0.026,0.382,0.226,0.173,0.121
2025-08-25,SITE_PROV_NETWORK,mental_health,27,28,25,0,0.073,0.024,0.343,0.175,0.348,0.187
2025-09-01,SITE_PROV_NETWORK,mental_health,41,44,37,0,0.094,0.052,0.54,0.207,0.136,0.181
2025-09-08,SITE_PROV_NETWORK,mental_health,39,43,35,0,0.11,0.058,0.391,0.078,0.205,0.02
2025-09-15,SITE_PROV_NETWORK,mental_health,50,55,45,0,0.102,0.048,0.492,0.156,0.287,0.208
2025-09-22,SITE_PROV_NETWORK,mental_health,43,48,38,0,0.126,0.051,0.336,0.281,0.226,0.131
2025-09-29,SITE_PROV_NETWORK,mental_health,23,25,20,0,0.134,0.053,0.444,0.138,0.321,0.219
2025-10-06,SITE_PROV_NETWORK,mental_health,25,26,23,0,0.08,0.056,0.471,0.147,0.195,0.15
2025-10-13,SITE_PROV_NETWORK,mental_health,31,34,28,0,0.103,0.014,0.3,0.191,0.137,0.113
2025-10-20,SITE_PROV_NETWORK,mental_health,37,40,34,0,0.088,0.032,0.44,0.159,0.264,0.12
2025-10-27,SITE_PROV_NETWORK,mental_health,45,50,39,0,0.128,0.036,0.341,0.168,0.34,0.134
2025-11-03,SITE_PROV_NETWORK,mental_health,28,31,25,0,0.124,0.033,0.562,0.204,0.211,0.221
2025-11-10,SITE_PROV_NETWORK,mental_health,24,26,21,0,0.128,0.005,0.502,0.201,0.203,0.186
2025-11-17,SITE_PROV_NETWORK,mental_health,40,42,37,0,0.065,0.044,0.316,0.246,0.239,0.072
2025-11-24,SITE_PROV_NETWORK,mental_health,31,33,29,0,0.08,0.048,0.507,0.149,0.153,0.136
2025-12-01,SITE_PROV_NETWORK,mental_health,36,39,33,0,0.095,0.024,0.5,0.165,0.219,0.118
2025-12-08,SITE_PROV_NETWORK,mental_health,50,55,44,0,0.116,0.013,0.392,0.121,0.171,0.12
2025-12-15,SITE_PROV_NETWORK,mental_health,38,42,32,0,0.151,0.036,0.548,0.14,0.278,0.08
2025-12-22,SITE_PROV_NETWORK,mental_health,35,39,30,0,0.141,0.044,0.376,0.27,0.097,0.096
2025-12-29,SITE_PROV_NETWORK,mental_health,28,31,24,0,0.13,0.018,0.299,0.25,0.225,0.067
2026-01-05,SITE_PROV_NETWORK,mental_health,43,47,39,0,0.102,0.059,0.493,0.226,0.363,0.124
2026-01-12,SITE_PROV_NETWORK,mental_health,47,52,40,0,0.146,0.042,0.444,0.131,0.32,0.17
2026-01-19,SITE_PROV_NETWORK,mental_health,27,29,25,0,0.087,0.031,0.273,0.31,0.3,0.087
2026-01-26,SITE_PROV_NETWORK,mental_health,36,39,32,0,0.101,0.027,0.373,0.201,0.366,0.277
2026-02-02,SITE_PROV_NETWORK,mental_health,49,54,34,9,0.122,0.037,0.414,0.066,0.274,0.144
2026-02-09,SITE_PROV_NETWORK,mental_health,43,48,36,1,0.137,0.04,0.541,0.323,0.245,0.215
2026-02-16,SITE_PROV_NETWORK,mental_health,47,51,16,26,0.101,0.05,0.381,0.284,0.205,0.143
2026-02-23,SITE_PROV_NETWORK,mental_health,41,45,28,7,0.139,0.012,0.411,0.11,0.15,0.174
2026-03-02,SITE_PROV_NETWORK,mental_health,35,39,24,7,0.115,0.024,0.402,0.262,0.254,0.101
2026-03-09,SITE_PROV_NETWORK,mental_health,53,58,30,17,0.105,0.04,0.398,0.13,0.195,0.146
2026-03-16,SITE_PROV_NETWORK,mental_health,39,42,19,17,0.084,0.025,0.403,0.041,0.27,0.034
2026-03-23,SITE_PROV_NETWORK,mental_health,30,33,23,2,0.155,0.032,0.396,0.185,0.106,0.159
2026-03-30,SITE_PROV_NETWORK,mental_health,43,48,21,16,0.139,0.045,0.41,0.206,0.178,0.275
2026-04-06,SITE_PROV_NETWORK,mental_health,47,49,37,7,0.063,0.042,0.345,0.259,0.13,0.078
2026-04-13,SITE_PROV_NETWORK,mental_health,27,29,18,6,0.103,0.058,0.337,0.308,0.341,0.12
2026-04-20,SITE_PROV_NETWORK,mental_health,27,29,24,0,0.1,0.038,0.4,0.146,0.187,0.167
2026-04-27,SITE_PROV_NETWORK,mental_health,30,33,27,0,0.107,0.028,0.45,0.108,0.147,0.129
2026-05-04,SITE_PROV_NETWORK,mental_health,45,48,28,13,0.084,0.035,0.37,0.168,0.196,0.111
2026-05-11,SITE_PROV_NETWORK,mental_health,44,48,31,9,0.101,0.037,0.333,0.204,0.187,0.044
2026-05-18,SITE_PROV_NETWORK,mental_health,31,34,23,3,0.156,0.056,0.296,0.124,0.245,0.099
2026-05-25,SITE_PROV_NETWORK,mental_health,36,40,13,19,0.113,0.009,0.473,0.191,0.179,0.077
2026-06-01,SITE_PROV_NETWORK,mental_health,44,49,28,11,0.12,0.034,0.435,0.13,0.201,0.104
2026-06-08,SITE_PROV_NETWORK,mental_health,22,24,19,0,0.123,0.053,0.268,0.139,0.225,0.12
2026-06-15,SITE_PROV_NETWORK,mental_health,22,24,19,0,0.114,0.052,0.304,0.143,0.247,0.123
2025-06-16,SITE_PROV_NETWORK,diagnostic_procedures,33,35,30,0,0.077,0.03,0.57,0.193,0.166,0.13
2025-06-23,SITE_PROV_NETWORK,diagnostic_procedures,45,47,42,0,0.063,0.016,0.505,0.239,0.258,0.164
2025-06-30,SITE_PROV_NETWORK,diagnostic_procedures,35,39,31,0,0.116,0.041,0.555,0.107,0.277,0.175
2025-07-07,SITE_PROV_NETWORK,diagnostic_procedures,53,56,49,0,0.074,0.041,0.384,0.203,0.226,0.16
2025-07-14,SITE_PROV_NETWORK,diagnostic_procedures,42,44,39,0,0.066,0.052,0.462,0.167,0.369,0.253
2025-07-21,SITE_PROV_NETWORK,diagnostic_procedures,41,44,38,0,0.078,0.02,0.472,0.218,0.406,0.201
2025-07-28,SITE_PROV_NETWORK,diagnostic_procedures,31,34,28,0,0.097,0.025,0.385,0.179,0.118,0.083
2025-08-04,SITE_PROV_NETWORK,diagnostic_procedures,37,40,34,0,0.084,0.015,0.277,0.161,0.192,0.209
2025-08-11,SITE_PROV_NETWORK,diagnostic_procedures,41,45,36,0,0.126,0.03,0.402,0.247,0.286,0.176
2025-08-18,SITE_PROV_NETWORK,diagnostic_procedures,49,52,45,0,0.076,0.022,0.24,0.169,0.286,0.166
2025-08-25,SITE_PROV_NETWORK,diagnostic_procedures,35,38,31,0,0.11,0.024,0.418,0.152,0.147,0.213
2025-09-01,SITE_PROV_NETWORK,diagnostic_procedures,46,51,41,0,0.111,0.034,0.405,0.075,0.225,0.132
2025-09-08,SITE_PROV_NETWORK,diagnostic_procedures,37,40,33,0,0.108,0.025,0.259,0.224,0.266,0.034
2025-09-15,SITE_PROV_NETWORK,diagnostic_procedures,42,46,38,0,0.102,0.059,0.497,0.141,0.143,0.152
2025-09-22,SITE_PROV_NETWORK,diagnostic_procedures,26,28,23,0,0.103,0.031,0.402,0.166,0.178,0.235
2025-09-29,SITE_PROV_NETWORK,diagnostic_procedures,34,37,31,0,0.092,0.037,0.251,0.346,0.352,0.126
2025-10-06,SITE_PROV_NETWORK,diagnostic_procedures,37,39,35,0,0.062,0.024,0.448,0.213,0.333,0.154
2025-10-13,SITE_PROV_NETWORK,diagnostic_procedures,45,47,42,0,0.058,0.031,0.323,0.072,0.316,0.067
2025-10-20,SITE_PROV_NETWORK,diagnostic_procedures,24,26,22,0,0.093,0.031,0.553,0.067,0.271,0.177
2025-10-27,SITE_PROV_NETWORK,diagnostic_procedures,29,32,26,0,0.118,0.026,0.47,0.02,0.199,0.04
2025-11-03,SITE_PROV_NETWORK,diagnostic_procedures,24,24,23,0,0.033,0.062,0.387,0.165,0.095,0.083
2025-11-10,SITE_PROV_NETWORK,diagnostic_procedures,42,46,38,0,0.103,0.033,0.45,0.135,0.217,0.246
2025-11-17,SITE_PROV_NETWORK,diagnostic_procedures,31,34,27,0,0.14,0.026,0.447,0.081,0.263,0.216
2025-11-24,SITE_PROV_NETWORK,diagnostic_procedures,28,30,25,0,0.101,0.071,0.442,0.166,0.083,0.106
2025-12-01,SITE_PROV_NETWORK,diagnostic_procedures,36,37,35,0,0.036,0.032,0.41,0.193,0.316,0.165
2025-12-08,SITE_PROV_NETWORK,diagnostic_procedures,38,39,36,0,0.042,0.028,0.386,0.31,0.246,0.206
2025-12-15,SITE_PROV_NETWORK,diagnostic_procedures,26,27,24,0,0.071,0.024,0.515,0.166,0.164,0.098
2025-12-22,SITE_PROV_NETWORK,diagnostic_procedures,40,42,37,0,0.068,0.029,0.395,0.127,0.249,0.131
2025-12-29,SITE_PROV_NETWORK,diagnostic_procedures,40,42,37,0,0.063,0.033,0.318,0.17,0.182,0.1
2026-01-05,SITE_PROV_NETWORK,diagnostic_procedures,52,57,46,0,0.115,0.053,0.524,0.169,0.192,0.128
2026-01-12,SITE_PROV_NETWORK,diagnostic_procedures,30,32,28,0,0.068,0.056,0.522,0.099,0.148,0.073
2026-01-19,SITE_PROV_NETWORK,diagnostic_procedures,26,28,23,0,0.102,0.032,0.48,0.099,0.125,0.101
2026-01-26,SITE_PROV_NETWORK,diagnostic_procedures,25,26,24,0,0.042,0.053,0.408,0.103,0.33,0.14
2026-02-02,SITE_PROV_NETWORK,diagnostic_procedures,22,24,19,0,0.119,0.024,0.474,0.127,0.185,0.19
2026-02-09,SITE_PROV_NETWORK,diagnostic_procedures,37,40,34,0,0.087,0.039,0.514,0.27,0.258,0.148
2026-02-16,SITE_PROV_NETWORK,diagnostic_procedures,40,43,37,0,0.082,0.055,0.461,0.212,0.289,0.058
2026-02-23,SITE_PROV_NETWORK,diagnostic_procedures,35,36,33,0,0.057,0.021,0.472,0.05,0.23,0.071
2026-03-02,SITE_PROV_NETWORK,diagnostic_procedures,48,52,44,0,0.094,0.03,0.313,0.02,0.251,0.157
2026-03-09,SITE_PROV_NETWORK,diagnostic_procedures,40,43,26,11,0.083,0.048,0.438,0.162,0.03,0.177
2026-03-16,SITE_PROV_NETWORK,diagnostic_procedures,45,48,36,5,0.089,0.0,0.494,0.256,0.161,0.074
2026-03-23,SITE_PROV_NETWORK,diagnostic_procedures,35,39,23,8,0.122,0.005,0.301,0.229,0.251,0.288
2026-03-30,SITE_PROV_NETWORK,diagnostic_procedures,39,43,21,13,0.116,0.033,0.618,0.162,0.177,0.139
2026-04-06,SITE_PROV_NETWORK,diagnostic_procedures,25,27,23,0,0.087,0.01,0.412,0.072,0.174,0.229
2026-04-13,SITE_PROV_NETWORK,diagnostic_procedures,48,49,35,11,0.041,0.043,0.478,0.179,0.325,0.121
2026-04-20,SITE_PROV_NETWORK,diagnostic_procedures,46,50,37,5,0.093,0.055,0.401,0.136,0.288,0.122
2026-04-27,SITE_PROV_NETWORK,diagnostic_procedures,34,37,31,0,0.093,0.008,0.48,0.127,0.3,0.118
2026-05-04,SITE_PROV_NETWORK,diagnostic_procedures,35,36,31,3,0.043,0.039,0.407,0.153,0.195,0.176
2026-05-11,SITE_PROV_NETWORK,diagnostic_procedures,37,39,22,12,0.077,0.051,0.552,0.253,0.246,0.27
2026-05-18,SITE_PROV_NETWORK,diagnostic_procedures,45,50,32,7,0.128,0.012,0.465,0.22,0.143,0.166
2026-05-25,SITE_PROV_NETWORK,diagnostic_procedures,24,26,22,0,0.084,0.038,0.452,0.119,0.181,0.139
2026-06-01,SITE_PROV_NETWORK,diagnostic_procedures,36,38,34,0,0.061,0.029,0.399,0.204,0.211,0.131
2026-06-08,SITE_PROV_NETWORK,diagnostic_procedures,44,47,41,0,0.079,0.029,0.555,0.212,0.324,0.153
2026-06-15,SITE_PROV_NETWORK,diagnostic_procedures,22,24,20,0,0.108,0.029,0.494,0.164,0.223,0.154
