site_id,unit_id,barrier,active_count,median_age_hours,p90_age_hours
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,imaging,6,3.6,13.1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,consult,8,6.4,24.6
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,family_readiness,4,7.4,31.3
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,home_supports,7,2.4,48.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,equipment,3,18.8,10.1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,pharmacy,2,26.7,48.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,transport,3,10.7,17.0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,imaging,2,51.5,45.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,consult,4,16.3,44.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,family_readiness,2,34.0,79.7
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,home_supports,2,26.5,25.9
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,equipment,3,11.0,54.0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,pharmacy,2,23.5,8.7
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,transport,6,22.2,18.3
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,imaging,1,12.5,8.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,consult,2,30.3,1.8
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,family_readiness,4,28.6,62.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,home_supports,2,4.7,31.8
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,equipment,4,17.0,72.3
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,pharmacy,4,10.5,5.0
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,transport,2,9.8,9.6
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,imaging,3,10.5,26.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,consult,5,38.1,21.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,family_readiness,4,5.9,66.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,home_supports,1,55.1,31.0
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,equipment,2,10.1,14.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,pharmacy,4,12.4,34.4
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,transport,4,8.3,12.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,imaging,6,16.9,8.6
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,consult,2,40.0,28.6
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,family_readiness,5,15.7,16.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,home_supports,5,22.8,1.3
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,equipment,2,29.2,29.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,pharmacy,3,2.6,31.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,transport,0,5.8,18.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,imaging,3,31.7,23.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,consult,8,28.7,18.4
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,family_readiness,9,14.0,51.2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,home_supports,4,5.4,19.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,equipment,8,25.4,79.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,pharmacy,3,0.6,15.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,transport,4,33.6,59.4
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,imaging,8,21.4,27.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,consult,2,14.0,55.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,family_readiness,7,8.7,18.2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,home_supports,4,6.2,31.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,equipment,4,5.1,18.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,pharmacy,9,16.1,14.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,transport,4,9.2,17.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,imaging,3,39.9,8.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,consult,5,20.6,16.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,family_readiness,3,17.2,23.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,home_supports,6,1.0,38.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,equipment,5,16.8,19.3
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,pharmacy,6,2.7,10.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,transport,1,24.3,22.6
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,imaging,6,24.3,18.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,consult,5,4.3,44.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,family_readiness,6,8.6,23.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,home_supports,6,16.2,12.4
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,equipment,3,65.9,6.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,pharmacy,3,26.3,9.4
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,transport,3,25.4,43.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,imaging,5,3.6,27.5
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,consult,0,1.8,21.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,family_readiness,2,3.7,57.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,home_supports,2,12.7,38.4
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,equipment,3,28.3,13.2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,pharmacy,4,4.0,62.7
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,transport,8,17.8,5.9
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,imaging,2,4.3,71.1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,consult,6,4.7,22.2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,family_readiness,4,8.5,9.8
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,home_supports,3,18.6,23.2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,equipment,7,4.0,31.1
