week_start,site_id,program,new_referrals,urgent_referrals,triage_median_days,referral_completeness_pct,duplicate_or_leakage_synth,slots_available,slots_booked,completed_visits,cancelled,no_show_rate,late_cancel_rate,new_visit_share,room_constraint,provider_constraint,nurse_allied_constraint
2026-04-06,SITE_PROV_NETWORK,mental_health,37.0,8.0,0.6,0.772,0.0,,,,,,,,,,
2026-04-13,SITE_PROV_NETWORK,mental_health,18.0,3.0,3.8,0.894,0.0,,,,,,,,,,
2026-04-20,SITE_PROV_NETWORK,mental_health,29.0,6.0,0.6,0.923,0.0,,,,,,,,,,
2026-04-27,SITE_PROV_NETWORK,mental_health,31.0,6.0,2.2,0.909,1.0,,,,,,,,,,
2026-05-04,SITE_PROV_NETWORK,mental_health,19.0,4.0,2.4,0.897,1.0,,,,,,,,,,
2026-05-11,SITE_PROV_NETWORK,mental_health,31.0,7.0,2.4,0.88,2.0,,,,,,,,,,
2026-05-18,SITE_PROV_NETWORK,mental_health,23.0,3.0,3.2,0.947,0.0,,,,,,,,,,
2026-05-25,SITE_PROV_NETWORK,mental_health,13.0,3.0,3.5,0.891,0.0,,,,,,,,,,
2026-06-01,SITE_PROV_NETWORK,mental_health,28.0,6.0,4.7,0.834,1.0,,,,,,,,,,
2026-06-08,SITE_PROV_NETWORK,mental_health,28.0,7.0,2.6,0.974,0.0,,,,,,,,,,
2026-06-15,SITE_PROV_NETWORK,mental_health,43.0,4.0,0.9,0.884,0.0,,,,,,,,,,
2025-06-16,SITE_PROV_NETWORK,diagnostic_procedures,19.0,4.0,1.1,0.858,0.0,,,,,,,,,,
2025-06-23,SITE_PROV_NETWORK,diagnostic_procedures,31.0,5.0,3.9,0.874,0.0,,,,,,,,,,
2025-06-30,SITE_PROV_NETWORK,diagnostic_procedures,25.0,4.0,2.4,0.99,0.0,,,,,,,,,,
2025-07-07,SITE_PROV_NETWORK,diagnostic_procedures,29.0,5.0,0.9,0.901,0.0,,,,,,,,,,
2025-07-14,SITE_PROV_NETWORK,diagnostic_procedures,29.0,7.0,7.2,0.982,0.0,,,,,,,,,,
2025-07-21,SITE_PROV_NETWORK,diagnostic_procedures,20.0,4.0,2.1,0.88,0.0,,,,,,,,,,
2025-07-28,SITE_PROV_NETWORK,diagnostic_procedures,19.0,2.0,3.3,0.889,0.0,,,,,,,,,,
2025-08-04,SITE_PROV_NETWORK,diagnostic_procedures,36.0,10.0,2.3,0.99,0.0,,,,,,,,,,
2025-08-11,SITE_PROV_NETWORK,diagnostic_procedures,15.0,3.0,2.7,0.914,0.0,,,,,,,,,,
2025-08-18,SITE_PROV_NETWORK,diagnostic_procedures,22.0,2.0,3.5,0.883,0.0,,,,,,,,,,
2025-08-25,SITE_PROV_NETWORK,diagnostic_procedures,19.0,4.0,6.4,0.939,0.0,,,,,,,,,,
2025-09-01,SITE_PROV_NETWORK,diagnostic_procedures,28.0,7.0,2.0,0.974,0.0,,,,,,,,,,
2025-09-08,SITE_PROV_NETWORK,diagnostic_procedures,31.0,5.0,1.0,0.977,1.0,,,,,,,,,,
2025-09-15,SITE_PROV_NETWORK,diagnostic_procedures,24.0,3.0,0.9,0.931,0.0,,,,,,,,,,
2025-09-22,SITE_PROV_NETWORK,diagnostic_procedures,18.0,1.0,4.5,0.926,3.0,,,,,,,,,,
2025-09-29,SITE_PROV_NETWORK,diagnostic_procedures,22.0,4.0,1.4,0.966,0.0,,,,,,,,,,
2025-10-06,SITE_PROV_NETWORK,diagnostic_procedures,22.0,3.0,3.4,0.889,0.0,,,,,,,,,,
2025-10-13,SITE_PROV_NETWORK,diagnostic_procedures,42.0,7.0,1.5,0.928,0.0,,,,,,,,,,
2025-10-20,SITE_PROV_NETWORK,diagnostic_procedures,26.0,4.0,2.5,0.892,0.0,,,,,,,,,,
2025-10-27,SITE_PROV_NETWORK,diagnostic_procedures,28.0,5.0,1.8,0.934,0.0,,,,,,,,,,
2025-11-03,SITE_PROV_NETWORK,diagnostic_procedures,38.0,5.0,0.5,0.825,0.0,,,,,,,,,,
2025-11-10,SITE_PROV_NETWORK,diagnostic_procedures,20.0,3.0,4.9,0.931,1.0,,,,,,,,,,
2025-11-17,SITE_PROV_NETWORK,diagnostic_procedures,22.0,3.0,1.1,0.852,0.0,,,,,,,,,,
2025-11-24,SITE_PROV_NETWORK,diagnostic_procedures,28.0,3.0,5.9,0.899,1.0,,,,,,,,,,
2025-12-01,SITE_PROV_NETWORK,diagnostic_procedures,19.0,3.0,4.9,0.92,0.0,,,,,,,,,,
2025-12-08,SITE_PROV_NETWORK,diagnostic_procedures,22.0,3.0,2.9,0.872,1.0,,,,,,,,,,
2025-12-15,SITE_PROV_NETWORK,diagnostic_procedures,30.0,6.0,2.1,0.898,1.0,,,,,,,,,,
2025-12-22,SITE_PROV_NETWORK,diagnostic_procedures,38.0,4.0,1.3,0.886,0.0,,,,,,,,,,
2025-12-29,SITE_PROV_NETWORK,diagnostic_procedures,21.0,2.0,0.5,0.873,1.0,,,,,,,,,,
2026-01-05,SITE_PROV_NETWORK,diagnostic_procedures,34.0,4.0,1.9,0.924,0.0,,,,,,,,,,
2026-01-12,SITE_PROV_NETWORK,diagnostic_procedures,33.0,6.0,5.4,0.891,1.0,,,,,,,,,,
2026-01-19,SITE_PROV_NETWORK,diagnostic_procedures,37.0,6.0,1.1,0.903,0.0,,,,,,,,,,
2026-01-26,SITE_PROV_NETWORK,diagnostic_procedures,20.0,3.0,1.6,0.878,0.0,,,,,,,,,,
2026-02-02,SITE_PROV_NETWORK,diagnostic_procedures,37.0,4.0,2.0,0.816,0.0,,,,,,,,,,
2026-02-09,SITE_PROV_NETWORK,diagnostic_procedures,24.0,2.0,5.8,0.902,0.0,,,,,,,,,,
2026-02-16,SITE_PROV_NETWORK,diagnostic_procedures,24.0,4.0,1.5,0.895,0.0,,,,,,,,,,
2026-02-23,SITE_PROV_NETWORK,diagnostic_procedures,30.0,5.0,7.9,0.903,1.0,,,,,,,,,,
2026-03-02,SITE_PROV_NETWORK,diagnostic_procedures,26.0,4.0,1.2,0.903,1.0,,,,,,,,,,
2026-03-09,SITE_PROV_NETWORK,diagnostic_procedures,24.0,3.0,3.8,0.904,0.0,,,,,,,,,,
2026-03-16,SITE_PROV_NETWORK,diagnostic_procedures,36.0,5.0,0.5,0.91,1.0,,,,,,,,,,
2026-03-23,SITE_PROV_NETWORK,diagnostic_procedures,23.0,3.0,4.2,0.945,0.0,,,,,,,,,,
2026-03-30,SITE_PROV_NETWORK,diagnostic_procedures,21.0,4.0,5.0,0.909,0.0,,,,,,,,,,
2026-04-06,SITE_PROV_NETWORK,diagnostic_procedures,24.0,5.0,1.6,0.989,0.0,,,,,,,,,,
2026-04-13,SITE_PROV_NETWORK,diagnostic_procedures,34.0,4.0,3.7,0.926,1.0,,,,,,,,,,
2026-04-20,SITE_PROV_NETWORK,diagnostic_procedures,37.0,6.0,3.2,0.906,1.0,,,,,,,,,,
2026-04-27,SITE_PROV_NETWORK,diagnostic_procedures,31.0,5.0,0.4,0.908,0.0,,,,,,,,,,
2026-05-04,SITE_PROV_NETWORK,diagnostic_procedures,31.0,5.0,9.6,0.962,0.0,,,,,,,,,,
2026-05-11,SITE_PROV_NETWORK,diagnostic_procedures,22.0,3.0,6.9,0.978,0.0,,,,,,,,,,
2026-05-18,SITE_PROV_NETWORK,diagnostic_procedures,32.0,5.0,1.1,0.886,0.0,,,,,,,,,,
2026-05-25,SITE_PROV_NETWORK,diagnostic_procedures,40.0,6.0,2.6,0.909,0.0,,,,,,,,,,
2026-06-01,SITE_PROV_NETWORK,diagnostic_procedures,28.0,6.0,0.2,0.895,0.0,,,,,,,,,,
2026-06-08,SITE_PROV_NETWORK,diagnostic_procedures,39.0,9.0,2.7,0.934,0.0,,,,,,,,,,
2026-06-15,SITE_PROV_NETWORK,diagnostic_procedures,24.0,4.0,0.9,0.944,0.0,,,,,,,,,,
2025-12-15,SITE_PROV_NETWORK,mental_health,,,,,,38.0,42.0,32.0,0.0,0.151,0.036,0.548,0.14,0.278,0.08
2025-12-22,SITE_PROV_NETWORK,mental_health,,,,,,35.0,39.0,30.0,0.0,0.141,0.044,0.376,0.27,0.097,0.096
2025-12-29,SITE_PROV_NETWORK,mental_health,,,,,,28.0,31.0,24.0,0.0,0.13,0.018,0.299,0.25,0.225,0.067
2026-01-05,SITE_PROV_NETWORK,mental_health,,,,,,43.0,47.0,39.0,0.0,0.102,0.059,0.493,0.226,0.363,0.124
2026-01-12,SITE_PROV_NETWORK,mental_health,,,,,,47.0,52.0,40.0,0.0,0.146,0.042,0.444,0.131,0.32,0.17
2026-01-19,SITE_PROV_NETWORK,mental_health,,,,,,27.0,29.0,25.0,0.0,0.087,0.031,0.273,0.31,0.3,0.087
2026-01-26,SITE_PROV_NETWORK,mental_health,,,,,,36.0,39.0,32.0,0.0,0.101,0.027,0.373,0.201,0.366,0.277
2026-02-02,SITE_PROV_NETWORK,mental_health,,,,,,49.0,54.0,34.0,9.0,0.122,0.037,0.414,0.066,0.274,0.144
2026-02-09,SITE_PROV_NETWORK,mental_health,,,,,,43.0,48.0,36.0,1.0,0.137,0.04,0.541,0.323,0.245,0.215
2026-02-16,SITE_PROV_NETWORK,mental_health,,,,,,47.0,51.0,16.0,26.0,0.101,0.05,0.381,0.284,0.205,0.143
2026-02-23,SITE_PROV_NETWORK,mental_health,,,,,,41.0,45.0,28.0,7.0,0.139,0.012,0.411,0.11,0.15,0.174
2026-03-02,SITE_PROV_NETWORK,mental_health,,,,,,35.0,39.0,24.0,7.0,0.115,0.024,0.402,0.262,0.254,0.101
2026-03-09,SITE_PROV_NETWORK,mental_health,,,,,,53.0,58.0,30.0,17.0,0.105,0.04,0.398,0.13,0.195,0.146
2026-03-16,SITE_PROV_NETWORK,mental_health,,,,,,39.0,42.0,19.0,17.0,0.084,0.025,0.403,0.041,0.27,0.034
2026-03-23,SITE_PROV_NETWORK,mental_health,,,,,,30.0,33.0,23.0,2.0,0.155,0.032,0.396,0.185,0.106,0.159
2026-03-30,SITE_PROV_NETWORK,mental_health,,,,,,43.0,48.0,21.0,16.0,0.139,0.045,0.41,0.206,0.178,0.275
2026-04-06,SITE_PROV_NETWORK,mental_health,,,,,,47.0,49.0,37.0,7.0,0.063,0.042,0.345,0.259,0.13,0.078
2026-04-13,SITE_PROV_NETWORK,mental_health,,,,,,27.0,29.0,18.0,6.0,0.103,0.058,0.337,0.308,0.341,0.12
2026-04-20,SITE_PROV_NETWORK,mental_health,,,,,,27.0,29.0,24.0,0.0,0.1,0.038,0.4,0.146,0.187,0.167
2026-04-27,SITE_PROV_NETWORK,mental_health,,,,,,30.0,33.0,27.0,0.0,0.107,0.028,0.45,0.108,0.147,0.129
2026-05-04,SITE_PROV_NETWORK,mental_health,,,,,,45.0,48.0,28.0,13.0,0.084,0.035,0.37,0.168,0.196,0.111
2026-05-11,SITE_PROV_NETWORK,mental_health,,,,,,44.0,48.0,31.0,9.0,0.101,0.037,0.333,0.204,0.187,0.044
2026-05-18,SITE_PROV_NETWORK,mental_health,,,,,,31.0,34.0,23.0,3.0,0.156,0.056,0.296,0.124,0.245,0.099
2026-05-25,SITE_PROV_NETWORK,mental_health,,,,,,36.0,40.0,13.0,19.0,0.113,0.009,0.473,0.191,0.179,0.077
2026-06-01,SITE_PROV_NETWORK,mental_health,,,,,,44.0,49.0,28.0,11.0,0.12,0.034,0.435,0.13,0.201,0.104
2026-06-08,SITE_PROV_NETWORK,mental_health,,,,,,22.0,24.0,19.0,0.0,0.123,0.053,0.268,0.139,0.225,0.12
2026-06-15,SITE_PROV_NETWORK,mental_health,,,,,,22.0,24.0,19.0,0.0,0.114,0.052,0.304,0.143,0.247,0.123
2025-06-16,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,33.0,35.0,30.0,0.0,0.077,0.03,0.57,0.193,0.166,0.13
2025-06-23,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,45.0,47.0,42.0,0.0,0.063,0.016,0.505,0.239,0.258,0.164
2025-06-30,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,35.0,39.0,31.0,0.0,0.116,0.041,0.555,0.107,0.277,0.175
2025-07-07,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,53.0,56.0,49.0,0.0,0.074,0.041,0.384,0.203,0.226,0.16
2025-07-14,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,42.0,44.0,39.0,0.0,0.066,0.052,0.462,0.167,0.369,0.253
2025-07-21,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,41.0,44.0,38.0,0.0,0.078,0.02,0.472,0.218,0.406,0.201
2025-07-28,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,31.0,34.0,28.0,0.0,0.097,0.025,0.385,0.179,0.118,0.083
2025-08-04,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,37.0,40.0,34.0,0.0,0.084,0.015,0.277,0.161,0.192,0.209
2025-08-11,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,41.0,45.0,36.0,0.0,0.126,0.03,0.402,0.247,0.286,0.176
2025-08-18,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,49.0,52.0,45.0,0.0,0.076,0.022,0.24,0.169,0.286,0.166
2025-08-25,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,35.0,38.0,31.0,0.0,0.11,0.024,0.418,0.152,0.147,0.213
2025-09-01,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,46.0,51.0,41.0,0.0,0.111,0.034,0.405,0.075,0.225,0.132
2025-09-08,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,37.0,40.0,33.0,0.0,0.108,0.025,0.259,0.224,0.266,0.034
2025-09-15,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,42.0,46.0,38.0,0.0,0.102,0.059,0.497,0.141,0.143,0.152
2025-09-22,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,26.0,28.0,23.0,0.0,0.103,0.031,0.402,0.166,0.178,0.235
2025-09-29,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,34.0,37.0,31.0,0.0,0.092,0.037,0.251,0.346,0.352,0.126
2025-10-06,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,37.0,39.0,35.0,0.0,0.062,0.024,0.448,0.213,0.333,0.154
2025-10-13,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,45.0,47.0,42.0,0.0,0.058,0.031,0.323,0.072,0.316,0.067
2025-10-20,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,24.0,26.0,22.0,0.0,0.093,0.031,0.553,0.067,0.271,0.177
2025-10-27,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,29.0,32.0,26.0,0.0,0.118,0.026,0.47,0.02,0.199,0.04
2025-11-03,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,24.0,24.0,23.0,0.0,0.033,0.062,0.387,0.165,0.095,0.083
2025-11-10,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,42.0,46.0,38.0,0.0,0.103,0.033,0.45,0.135,0.217,0.246
2025-11-17,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,31.0,34.0,27.0,0.0,0.14,0.026,0.447,0.081,0.263,0.216
2025-11-24,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,28.0,30.0,25.0,0.0,0.101,0.071,0.442,0.166,0.083,0.106
2025-12-01,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,36.0,37.0,35.0,0.0,0.036,0.032,0.41,0.193,0.316,0.165
2025-12-08,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,38.0,39.0,36.0,0.0,0.042,0.028,0.386,0.31,0.246,0.206
2025-12-15,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,26.0,27.0,24.0,0.0,0.071,0.024,0.515,0.166,0.164,0.098
2025-12-22,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,40.0,42.0,37.0,0.0,0.068,0.029,0.395,0.127,0.249,0.131
2025-12-29,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,40.0,42.0,37.0,0.0,0.063,0.033,0.318,0.17,0.182,0.1
2026-01-05,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,52.0,57.0,46.0,0.0,0.115,0.053,0.524,0.169,0.192,0.128
2026-01-12,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,30.0,32.0,28.0,0.0,0.068,0.056,0.522,0.099,0.148,0.073
2026-01-19,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,26.0,28.0,23.0,0.0,0.102,0.032,0.48,0.099,0.125,0.101
2026-01-26,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,25.0,26.0,24.0,0.0,0.042,0.053,0.408,0.103,0.33,0.14
2026-02-02,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,22.0,24.0,19.0,0.0,0.119,0.024,0.474,0.127,0.185,0.19
2026-02-09,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,37.0,40.0,34.0,0.0,0.087,0.039,0.514,0.27,0.258,0.148
2026-02-16,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,40.0,43.0,37.0,0.0,0.082,0.055,0.461,0.212,0.289,0.058
2026-02-23,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,35.0,36.0,33.0,0.0,0.057,0.021,0.472,0.05,0.23,0.071
2026-03-02,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,48.0,52.0,44.0,0.0,0.094,0.03,0.313,0.02,0.251,0.157
2026-03-09,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,40.0,43.0,26.0,11.0,0.083,0.048,0.438,0.162,0.03,0.177
2026-03-16,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,45.0,48.0,36.0,5.0,0.089,0.0,0.494,0.256,0.161,0.074
2026-03-23,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,35.0,39.0,23.0,8.0,0.122,0.005,0.301,0.229,0.251,0.288
2026-03-30,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,39.0,43.0,21.0,13.0,0.116,0.033,0.618,0.162,0.177,0.139
2026-04-06,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,25.0,27.0,23.0,0.0,0.087,0.01,0.412,0.072,0.174,0.229
2026-04-13,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,48.0,49.0,35.0,11.0,0.041,0.043,0.478,0.179,0.325,0.121
2026-04-20,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,46.0,50.0,37.0,5.0,0.093,0.055,0.401,0.136,0.288,0.122
2026-04-27,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,34.0,37.0,31.0,0.0,0.093,0.008,0.48,0.127,0.3,0.118
2026-05-04,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,35.0,36.0,31.0,3.0,0.043,0.039,0.407,0.153,0.195,0.176
2026-05-11,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,37.0,39.0,22.0,12.0,0.077,0.051,0.552,0.253,0.246,0.27
2026-05-18,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,45.0,50.0,32.0,7.0,0.128,0.012,0.465,0.22,0.143,0.166
2026-05-25,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,24.0,26.0,22.0,0.0,0.084,0.038,0.452,0.119,0.181,0.139
2026-06-01,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,36.0,38.0,34.0,0.0,0.061,0.029,0.399,0.204,0.211,0.131
2026-06-08,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,44.0,47.0,41.0,0.0,0.079,0.029,0.555,0.212,0.324,0.153
2026-06-15,SITE_PROV_NETWORK,diagnostic_procedures,,,,,,22.0,24.0,20.0,0.0,0.108,0.029,0.494,0.164,0.223,0.154
