referral_triage_id,site_id,program,week_start_date,new_referrals,urgent_referrals,triage_turnaround_median_days,referral_completeness_pct,duplicate_referral_count_synth,synthetic_demo
REF_SITE_STOLLERY_INSPIRED_cardiology_008,SITE_STOLLERY_INSPIRED,cardiology,2026-03-02,28,6,0.2,0.899,2,True
REF_SITE_STOLLERY_INSPIRED_cardiology_009,SITE_STOLLERY_INSPIRED,cardiology,2026-03-09,20,3,2.4,0.893,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_010,SITE_STOLLERY_INSPIRED,cardiology,2026-03-16,17,3,3.4,0.951,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_011,SITE_STOLLERY_INSPIRED,cardiology,2026-03-23,22,3,5.9,0.848,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_012,SITE_STOLLERY_INSPIRED,cardiology,2026-03-30,16,2,3.4,0.928,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_013,SITE_STOLLERY_INSPIRED,cardiology,2026-04-06,32,8,2.0,0.928,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_014,SITE_STOLLERY_INSPIRED,cardiology,2026-04-13,13,2,1.2,0.907,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_015,SITE_STOLLERY_INSPIRED,cardiology,2026-04-20,22,4,0.5,0.913,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_016,SITE_STOLLERY_INSPIRED,cardiology,2026-04-27,25,2,1.4,0.855,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_000,SITE_STOLLERY_INSPIRED,neurology,2026-01-05,27,6,1.5,0.918,1,True
REF_SITE_STOLLERY_INSPIRED_neurology_001,SITE_STOLLERY_INSPIRED,neurology,2026-01-12,14,1,1.0,0.874,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_002,SITE_STOLLERY_INSPIRED,neurology,2026-01-19,23,2,1.0,0.879,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_003,SITE_STOLLERY_INSPIRED,neurology,2026-01-26,24,5,6.8,0.905,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_004,SITE_STOLLERY_INSPIRED,neurology,2026-02-02,27,1,2.5,0.917,1,True
REF_SITE_STOLLERY_INSPIRED_neurology_005,SITE_STOLLERY_INSPIRED,neurology,2026-02-09,27,2,1.4,0.913,2,True
REF_SITE_STOLLERY_INSPIRED_neurology_006,SITE_STOLLERY_INSPIRED,neurology,2026-02-16,23,5,1.6,0.895,1,True
REF_SITE_STOLLERY_INSPIRED_neurology_007,SITE_STOLLERY_INSPIRED,neurology,2026-02-23,22,5,3.6,0.843,1,True
REF_SITE_STOLLERY_INSPIRED_neurology_008,SITE_STOLLERY_INSPIRED,neurology,2026-03-02,22,8,2.9,0.915,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_009,SITE_STOLLERY_INSPIRED,neurology,2026-03-09,23,5,1.7,0.953,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_010,SITE_STOLLERY_INSPIRED,neurology,2026-03-16,29,2,2.7,0.882,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_011,SITE_STOLLERY_INSPIRED,neurology,2026-03-23,16,3,1.9,0.876,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_012,SITE_STOLLERY_INSPIRED,neurology,2026-03-30,22,6,3.3,0.859,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_013,SITE_STOLLERY_INSPIRED,neurology,2026-04-06,23,6,1.6,0.96,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_014,SITE_STOLLERY_INSPIRED,neurology,2026-04-13,17,3,1.2,0.85,0,True
REF_SITE_STOLLERY_INSPIRED_neurology_015,SITE_STOLLERY_INSPIRED,neurology,2026-04-20,23,4,0.7,0.882,1,True
REF_SITE_STOLLERY_INSPIRED_neurology_016,SITE_STOLLERY_INSPIRED,neurology,2026-04-27,30,3,2.1,0.876,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_000,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-05,37,3,2.6,0.948,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_001,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-12,22,3,2.5,0.866,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_002,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-19,22,3,2.9,0.892,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_003,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-26,26,3,1.2,0.937,1,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_004,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-02,23,2,0.9,0.95,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_005,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-09,21,6,2.7,0.903,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_006,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-16,22,3,3.9,0.985,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_007,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-23,20,3,3.4,0.929,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_008,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-02,26,1,3.1,0.92,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_009,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-09,23,5,2.5,0.899,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_010,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-16,29,7,1.0,0.803,1,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_011,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-23,13,0,1.2,0.896,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_012,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-30,21,3,2.0,0.961,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_013,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-06,18,3,3.4,0.911,1,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_014,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-13,20,3,0.7,0.9,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_015,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-20,18,2,3.0,0.916,0,True
REF_SITE_STOLLERY_INSPIRED_surgery_followup_016,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-27,24,4,1.1,0.926,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_000,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-05,20,4,1.9,0.962,1,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_001,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-12,27,2,0.5,0.903,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_002,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-19,17,1,3.4,0.935,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_003,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-26,15,1,2.7,0.878,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_004,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-02,27,3,0.6,0.901,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_005,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-09,21,4,1.5,0.874,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_006,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-16,24,3,3.0,0.928,2,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_007,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-23,22,7,0.7,0.928,1,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_008,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-02,18,2,1.6,0.951,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_009,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-09,17,1,0.9,0.913,1,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_010,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-16,23,4,1.2,0.982,1,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_011,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-23,26,6,2.4,0.876,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_012,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-30,19,3,1.7,0.86,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_013,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-06,22,5,1.3,0.885,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_014,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-13,20,4,7.3,0.952,1,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_015,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-20,22,1,1.5,0.98,0,True
REF_SITE_STOLLERY_INSPIRED_oncology_survivorship_016,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-27,22,6,2.9,0.901,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_000,SITE_STOLLERY_INSPIRED,complex_care,2026-01-05,25,1,3.2,0.889,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_001,SITE_STOLLERY_INSPIRED,complex_care,2026-01-12,30,2,3.0,0.834,1,True
REF_SITE_STOLLERY_INSPIRED_complex_care_002,SITE_STOLLERY_INSPIRED,complex_care,2026-01-19,21,4,0.8,0.876,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_003,SITE_STOLLERY_INSPIRED,complex_care,2026-01-26,24,6,0.4,0.942,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_004,SITE_STOLLERY_INSPIRED,complex_care,2026-02-02,19,2,1.0,0.921,1,True
REF_SITE_STOLLERY_INSPIRED_complex_care_005,SITE_STOLLERY_INSPIRED,complex_care,2026-02-09,17,4,2.4,0.907,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_006,SITE_STOLLERY_INSPIRED,complex_care,2026-02-16,24,3,3.3,0.896,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_007,SITE_STOLLERY_INSPIRED,complex_care,2026-02-23,23,2,1.4,0.906,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_008,SITE_STOLLERY_INSPIRED,complex_care,2026-03-02,27,6,2.5,0.919,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_009,SITE_STOLLERY_INSPIRED,complex_care,2026-03-09,21,5,1.4,0.926,1,True
REF_SITE_STOLLERY_INSPIRED_complex_care_010,SITE_STOLLERY_INSPIRED,complex_care,2026-03-16,29,2,1.6,0.89,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_011,SITE_STOLLERY_INSPIRED,complex_care,2026-03-23,19,2,5.4,0.947,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_012,SITE_STOLLERY_INSPIRED,complex_care,2026-03-30,25,5,1.6,0.92,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_013,SITE_STOLLERY_INSPIRED,complex_care,2026-04-06,26,2,4.3,0.949,1,True
REF_SITE_STOLLERY_INSPIRED_complex_care_014,SITE_STOLLERY_INSPIRED,complex_care,2026-04-13,24,3,1.4,0.907,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_015,SITE_STOLLERY_INSPIRED,complex_care,2026-04-20,18,3,1.3,0.926,0,True
REF_SITE_STOLLERY_INSPIRED_complex_care_016,SITE_STOLLERY_INSPIRED,complex_care,2026-04-27,13,2,1.4,0.939,1,True
REF_SITE_STOLLERY_INSPIRED_mental_health_000,SITE_STOLLERY_INSPIRED,mental_health,2026-01-05,16,1,2.8,0.818,1,True
REF_SITE_STOLLERY_INSPIRED_mental_health_001,SITE_STOLLERY_INSPIRED,mental_health,2026-01-12,29,7,0.0,0.853,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_002,SITE_STOLLERY_INSPIRED,mental_health,2026-01-19,18,2,1.3,0.854,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_003,SITE_STOLLERY_INSPIRED,mental_health,2026-01-26,24,5,3.4,0.98,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_004,SITE_STOLLERY_INSPIRED,mental_health,2026-02-02,24,2,1.9,0.917,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_005,SITE_STOLLERY_INSPIRED,mental_health,2026-02-09,21,1,2.4,0.971,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_006,SITE_STOLLERY_INSPIRED,mental_health,2026-02-16,11,1,1.7,0.99,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_007,SITE_STOLLERY_INSPIRED,mental_health,2026-02-23,25,7,0.9,0.958,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_008,SITE_STOLLERY_INSPIRED,mental_health,2026-03-02,22,2,3.8,0.932,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_009,SITE_STOLLERY_INSPIRED,mental_health,2026-03-09,21,1,2.0,0.844,1,True
REF_SITE_STOLLERY_INSPIRED_mental_health_010,SITE_STOLLERY_INSPIRED,mental_health,2026-03-16,15,3,1.7,0.871,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_011,SITE_STOLLERY_INSPIRED,mental_health,2026-03-23,22,1,2.1,0.88,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_012,SITE_STOLLERY_INSPIRED,mental_health,2026-03-30,25,6,5.7,0.933,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_013,SITE_STOLLERY_INSPIRED,mental_health,2026-04-06,12,0,3.4,0.99,1,True
REF_SITE_STOLLERY_INSPIRED_mental_health_014,SITE_STOLLERY_INSPIRED,mental_health,2026-04-13,16,2,1.9,0.935,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_015,SITE_STOLLERY_INSPIRED,mental_health,2026-04-20,17,2,1.3,0.935,0,True
REF_SITE_STOLLERY_INSPIRED_mental_health_016,SITE_STOLLERY_INSPIRED,mental_health,2026-04-27,21,4,3.7,0.932,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_000,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-05,16,2,1.7,0.869,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_001,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-12,16,2,0.4,0.931,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_002,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-19,26,5,0.2,0.962,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_003,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-26,23,4,2.1,0.924,1,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_004,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-02,22,3,1.3,0.91,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_005,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-09,20,3,2.2,0.869,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_006,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-16,19,4,1.0,0.863,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_007,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-23,27,6,1.3,0.897,1,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_008,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-02,22,2,3.9,0.91,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_009,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-09,23,4,3.8,0.986,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_010,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-16,21,2,0.9,0.863,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_011,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-23,24,4,1.4,0.882,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_012,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-30,22,2,0.8,0.891,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_013,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-06,15,3,0.6,0.875,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_014,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-13,26,5,1.3,0.927,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_015,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-20,19,1,4.0,0.945,0,True
REF_SITE_STOLLERY_INSPIRED_diagnostic_procedures_016,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-27,17,4,2.3,0.946,0,True
REF_SITE_ACH_INSPIRED_respiratory_000,SITE_ACH_INSPIRED,respiratory,2026-01-05,41,4,6.3,0.924,0,True
REF_SITE_ACH_INSPIRED_respiratory_001,SITE_ACH_INSPIRED,respiratory,2026-01-12,30,4,1.3,0.886,0,True
REF_SITE_ACH_INSPIRED_respiratory_002,SITE_ACH_INSPIRED,respiratory,2026-01-19,30,5,4.3,0.948,0,True
REF_SITE_ACH_INSPIRED_respiratory_003,SITE_ACH_INSPIRED,respiratory,2026-01-26,22,2,0.9,0.94,0,True
REF_SITE_ACH_INSPIRED_respiratory_004,SITE_ACH_INSPIRED,respiratory,2026-02-02,29,1,1.2,0.944,1,True
REF_SITE_ACH_INSPIRED_respiratory_005,SITE_ACH_INSPIRED,respiratory,2026-02-09,35,8,3.5,0.923,0,True
REF_SITE_ACH_INSPIRED_respiratory_006,SITE_ACH_INSPIRED,respiratory,2026-02-16,30,4,0.8,0.815,0,True
REF_SITE_ACH_INSPIRED_respiratory_007,SITE_ACH_INSPIRED,respiratory,2026-02-23,33,6,0.8,0.99,0,True
REF_SITE_ACH_INSPIRED_respiratory_008,SITE_ACH_INSPIRED,respiratory,2026-03-02,32,7,2.3,0.836,0,True
REF_SITE_ACH_INSPIRED_respiratory_009,SITE_ACH_INSPIRED,respiratory,2026-03-09,31,5,3.8,0.914,0,True
REF_SITE_ACH_INSPIRED_respiratory_010,SITE_ACH_INSPIRED,respiratory,2026-03-16,25,6,1.6,0.874,0,True
REF_SITE_ACH_INSPIRED_respiratory_011,SITE_ACH_INSPIRED,respiratory,2026-03-23,25,2,3.6,0.907,0,True
REF_SITE_ACH_INSPIRED_respiratory_012,SITE_ACH_INSPIRED,respiratory,2026-03-30,29,6,3.8,0.961,0,True
REF_SITE_ACH_INSPIRED_respiratory_013,SITE_ACH_INSPIRED,respiratory,2026-04-06,19,2,2.5,0.912,1,True
REF_SITE_ACH_INSPIRED_respiratory_014,SITE_ACH_INSPIRED,respiratory,2026-04-13,23,3,2.6,0.901,0,True
REF_SITE_ACH_INSPIRED_respiratory_015,SITE_ACH_INSPIRED,respiratory,2026-04-20,11,3,2.7,0.969,0,True
REF_SITE_ACH_INSPIRED_respiratory_016,SITE_ACH_INSPIRED,respiratory,2026-04-27,20,4,1.5,0.86,0,True
REF_SITE_ACH_INSPIRED_cardiology_000,SITE_ACH_INSPIRED,cardiology,2026-01-05,22,4,5.1,0.926,2,True
REF_SITE_ACH_INSPIRED_cardiology_001,SITE_ACH_INSPIRED,cardiology,2026-01-12,22,3,0.5,0.914,0,True
REF_SITE_ACH_INSPIRED_cardiology_002,SITE_ACH_INSPIRED,cardiology,2026-01-19,27,2,1.0,0.933,0,True
REF_SITE_ACH_INSPIRED_cardiology_003,SITE_ACH_INSPIRED,cardiology,2026-01-26,18,2,1.9,0.891,0,True
REF_SITE_ACH_INSPIRED_cardiology_004,SITE_ACH_INSPIRED,cardiology,2026-02-02,22,5,3.0,0.799,0,True
REF_SITE_ACH_INSPIRED_cardiology_005,SITE_ACH_INSPIRED,cardiology,2026-02-09,25,2,3.8,0.913,0,True
REF_SITE_ACH_INSPIRED_cardiology_006,SITE_ACH_INSPIRED,cardiology,2026-02-16,20,2,2.4,0.922,1,True
REF_SITE_ACH_INSPIRED_cardiology_007,SITE_ACH_INSPIRED,cardiology,2026-02-23,18,4,2.2,0.921,0,True
REF_SITE_ACH_INSPIRED_cardiology_008,SITE_ACH_INSPIRED,cardiology,2026-03-02,19,2,1.0,0.937,0,True
REF_SITE_ACH_INSPIRED_cardiology_009,SITE_ACH_INSPIRED,cardiology,2026-03-09,12,1,3.4,0.902,1,True
REF_SITE_ACH_INSPIRED_cardiology_010,SITE_ACH_INSPIRED,cardiology,2026-03-16,23,2,0.5,0.954,0,True
REF_SITE_ACH_INSPIRED_cardiology_011,SITE_ACH_INSPIRED,cardiology,2026-03-23,25,5,4.5,0.879,0,True
REF_SITE_ACH_INSPIRED_cardiology_012,SITE_ACH_INSPIRED,cardiology,2026-03-30,27,3,0.6,0.931,1,True
REF_SITE_ACH_INSPIRED_cardiology_013,SITE_ACH_INSPIRED,cardiology,2026-04-06,30,1,1.3,0.857,0,True
REF_SITE_ACH_INSPIRED_cardiology_014,SITE_ACH_INSPIRED,cardiology,2026-04-13,19,7,1.3,0.915,0,True
REF_SITE_ACH_INSPIRED_cardiology_015,SITE_ACH_INSPIRED,cardiology,2026-04-20,13,3,0.2,0.99,0,True
REF_SITE_ACH_INSPIRED_cardiology_016,SITE_ACH_INSPIRED,cardiology,2026-04-27,14,3,2.9,0.842,0,True
REF_SITE_ACH_INSPIRED_neurology_000,SITE_ACH_INSPIRED,neurology,2026-01-05,31,5,4.2,0.927,1,True
REF_SITE_ACH_INSPIRED_neurology_001,SITE_ACH_INSPIRED,neurology,2026-01-12,22,3,4.0,0.878,2,True
REF_SITE_ACH_INSPIRED_neurology_002,SITE_ACH_INSPIRED,neurology,2026-01-19,31,5,2.5,0.945,0,True
REF_SITE_ACH_INSPIRED_neurology_003,SITE_ACH_INSPIRED,neurology,2026-01-26,15,2,4.1,0.908,0,True
REF_SITE_ACH_INSPIRED_neurology_004,SITE_ACH_INSPIRED,neurology,2026-02-02,21,5,0.6,0.947,0,True
REF_SITE_ACH_INSPIRED_neurology_005,SITE_ACH_INSPIRED,neurology,2026-02-09,13,3,5.4,0.925,0,True
REF_SITE_ACH_INSPIRED_neurology_006,SITE_ACH_INSPIRED,neurology,2026-02-16,18,5,0.4,0.937,0,True
REF_SITE_ACH_INSPIRED_neurology_007,SITE_ACH_INSPIRED,neurology,2026-02-23,18,4,2.7,0.922,0,True
REF_SITE_ACH_INSPIRED_neurology_008,SITE_ACH_INSPIRED,neurology,2026-03-02,30,3,1.9,0.902,0,True
REF_SITE_ACH_INSPIRED_neurology_009,SITE_ACH_INSPIRED,neurology,2026-03-09,11,1,3.3,0.99,2,True
REF_SITE_ACH_INSPIRED_neurology_010,SITE_ACH_INSPIRED,neurology,2026-03-16,17,5,1.9,0.927,0,True
REF_SITE_ACH_INSPIRED_neurology_011,SITE_ACH_INSPIRED,neurology,2026-03-23,22,5,3.3,0.968,0,True
REF_SITE_ACH_INSPIRED_neurology_012,SITE_ACH_INSPIRED,neurology,2026-03-30,26,3,2.6,0.879,0,True
REF_SITE_ACH_INSPIRED_neurology_013,SITE_ACH_INSPIRED,neurology,2026-04-06,18,3,5.5,0.939,0,True
REF_SITE_ACH_INSPIRED_neurology_014,SITE_ACH_INSPIRED,neurology,2026-04-13,9,2,2.7,0.93,0,True
REF_SITE_ACH_INSPIRED_neurology_015,SITE_ACH_INSPIRED,neurology,2026-04-20,23,4,1.2,0.99,0,True
REF_SITE_ACH_INSPIRED_neurology_016,SITE_ACH_INSPIRED,neurology,2026-04-27,19,2,1.3,0.907,0,True
