census_hour_id,site_id,unit_id,service_line,ts_hour,census,physical_beds,staffed_beds,effective_beds,occupancy_pct,respiratory_multiplier,ed_boarders,predicted_discharges,discharge_confidence,staffing_gap_pct,synthetic_demo
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010110,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T10:00:00,35,42,41,36,0.9722,1.45,1,2,0.73,0.097,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010111,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T11:00:00,41,42,42,39,1.0513,1.45,6,2,0.629,0.048,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010112,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T12:00:00,34,42,42,36,0.9444,1.45,0,3,0.899,0.1074,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010113,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T13:00:00,33,42,42,37,0.8919,1.45,1,1,0.727,0.0918,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010114,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T14:00:00,35,42,40,35,1.0,1.45,3,1,0.811,0.0971,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010115,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T15:00:00,38,42,42,39,0.9744,1.45,3,0,0.829,0.0368,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010116,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T16:00:00,37,42,40,36,1.0278,1.45,3,1,0.617,0.0741,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010117,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T17:00:00,40,42,40,35,1.1429,1.45,6,1,0.803,0.1075,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010118,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T18:00:00,43,42,42,39,1.1026,1.45,4,1,0.612,0.0484,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010119,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T19:00:00,38,42,41,38,1.0,1.45,1,0,0.775,0.0587,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010120,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T20:00:00,36,42,41,37,0.973,1.45,3,1,0.738,0.0718,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010121,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T21:00:00,42,42,41,39,1.0769,1.45,6,0,0.634,0.0224,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010122,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T22:00:00,39,42,41,39,1.0,1.45,4,0,0.751,0.0249,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010123,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T23:00:00,28,42,40,36,0.7778,1.45,0,0,0.909,0.0692,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010200,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T00:00:00,36,42,40,38,0.9474,1.45,2,0,0.748,0.0248,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010201,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T01:00:00,41,42,41,39,1.0513,1.45,3,1,0.712,0.0228,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010202,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T02:00:00,36,42,41,39,0.9231,1.45,1,0,0.679,0.0206,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010203,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T03:00:00,32,42,40,37,0.8649,1.45,1,0,0.756,0.0594,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010204,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T04:00:00,34,42,41,37,0.9189,1.45,1,1,0.66,0.0665,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010205,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T05:00:00,32,42,41,38,0.8421,1.45,0,3,0.766,0.053,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010206,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T06:00:00,30,42,40,37,0.8108,1.45,1,0,0.81,0.0561,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010207,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T07:00:00,35,42,40,37,0.9459,1.45,2,2,0.743,0.0436,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010208,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T08:00:00,29,42,40,37,0.7838,1.45,0,0,0.696,0.0519,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010209,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T09:00:00,36,42,40,38,0.9474,1.45,2,0,0.693,0.0102,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010210,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T10:00:00,37,42,41,39,0.9487,1.45,2,1,0.885,0.0216,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010211,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T11:00:00,38,42,41,36,1.0556,1.45,4,1,0.556,0.1007,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010212,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T12:00:00,36,42,41,35,1.0286,1.45,4,0,0.696,0.1202,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010213,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T13:00:00,37,42,40,37,1.0,1.45,1,1,0.841,0.0363,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010214,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T14:00:00,39,42,42,39,1.0,1.45,3,1,0.762,0.0494,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010215,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T15:00:00,37,42,41,34,1.0882,1.45,4,0,0.83,0.1501,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010216,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T16:00:00,35,42,41,36,0.9722,1.45,2,2,0.791,0.0993,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010217,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T17:00:00,38,42,40,35,1.0857,1.45,0,1,0.666,0.1074,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010218,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T18:00:00,36,42,40,36,1.0,1.45,0,0,0.718,0.0732,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010219,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T19:00:00,33,42,40,36,0.9167,1.45,1,1,0.869,0.0745,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010220,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T20:00:00,37,42,40,37,1.0,1.45,1,2,0.73,0.0553,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010221,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T21:00:00,36,42,40,38,0.9474,1.45,2,0,0.741,0.0348,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010222,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T22:00:00,40,42,42,39,1.0256,1.45,4,0,0.788,0.0555,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010223,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-02T23:00:00,34,42,41,37,0.9189,1.45,3,0,0.923,0.0737,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010300,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T00:00:00,24,42,40,32,0.75,1.45,0,1,0.706,0.1676,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010301,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T01:00:00,29,42,42,36,0.8056,1.45,0,0,0.718,0.1058,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010302,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T02:00:00,27,42,41,36,0.75,1.45,0,0,0.699,0.0984,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010303,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T03:00:00,29,42,40,36,0.8056,1.45,0,0,0.82,0.0675,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010304,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T04:00:00,28,42,41,37,0.7568,1.45,0,0,0.89,0.0769,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010305,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T05:00:00,28,42,40,38,0.7368,1.45,0,1,0.747,0.0247,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010306,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T06:00:00,25,42,40,37,0.6757,1.45,0,0,0.689,0.0371,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010307,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T07:00:00,26,42,42,38,0.6842,1.45,0,0,0.833,0.0575,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010308,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T08:00:00,22,42,40,34,0.6471,1.45,0,1,0.665,0.121,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010309,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T09:00:00,23,42,42,39,0.5897,1.45,0,0,0.841,0.0445,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010310,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T10:00:00,28,42,41,32,0.875,1.45,0,1,0.812,0.1999,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010311,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T11:00:00,32,42,41,38,0.8421,1.45,0,1,0.731,0.039,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010312,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T12:00:00,29,42,42,39,0.7436,1.45,0,1,0.633,0.0483,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010313,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T13:00:00,32,42,42,37,0.8649,1.45,1,2,0.734,0.1001,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010314,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T14:00:00,26,42,40,34,0.7647,1.45,0,1,0.729,0.118,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010315,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T15:00:00,28,42,42,37,0.7568,1.45,3,0,0.637,0.1041,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010316,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T16:00:00,31,42,42,40,0.775,1.45,0,0,0.807,0.0241,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010317,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T17:00:00,31,42,41,36,0.8611,1.45,1,0,0.825,0.0905,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010318,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T18:00:00,30,42,42,40,0.75,1.45,0,0,0.811,0.0324,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010319,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T19:00:00,35,42,40,38,0.9211,1.45,3,2,0.756,0.0245,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010320,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T20:00:00,24,42,40,32,0.75,1.45,0,0,0.776,0.1816,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010321,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T21:00:00,33,42,42,39,0.8462,1.45,0,0,0.734,0.0334,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010322,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T22:00:00,32,42,40,36,0.8889,1.45,0,0,0.773,0.0652,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010323,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-03T23:00:00,27,42,42,38,0.7105,1.45,0,0,0.849,0.0719,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010400,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T00:00:00,31,42,42,38,0.8158,1.45,0,0,0.754,0.0698,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010401,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T01:00:00,23,42,40,35,0.6571,1.45,0,0,0.751,0.0905,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010402,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T02:00:00,23,42,41,36,0.6389,1.45,0,1,0.773,0.0898,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010403,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T03:00:00,27,42,40,36,0.75,1.45,0,0,0.801,0.0688,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010404,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T04:00:00,30,42,40,36,0.8333,1.45,0,1,0.752,0.073,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010405,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T05:00:00,27,42,40,34,0.7941,1.45,1,0,0.746,0.12,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010406,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T06:00:00,25,42,40,35,0.7143,1.45,0,0,0.801,0.0984,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010407,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T07:00:00,27,42,41,36,0.75,1.45,0,2,0.831,0.0866,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010408,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T08:00:00,28,42,41,39,0.7179,1.45,0,1,0.708,0.026,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010409,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T09:00:00,29,42,41,37,0.7838,1.45,1,1,0.705,0.0648,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010410,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T10:00:00,27,42,42,38,0.7105,1.45,0,5,0.748,0.0653,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010411,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T11:00:00,28,42,41,35,0.8,1.45,0,3,0.874,0.1133,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010412,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T12:00:00,31,42,40,37,0.8378,1.45,0,1,0.7,0.0358,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010413,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T13:00:00,28,42,41,38,0.7368,1.45,0,2,0.682,0.039,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010414,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T14:00:00,27,42,41,37,0.7297,1.45,0,0,0.77,0.0829,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010415,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T15:00:00,36,42,42,39,0.9231,1.45,0,2,0.749,0.0484,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010416,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T16:00:00,28,42,40,34,0.8235,1.45,0,0,0.855,0.1368,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010417,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T17:00:00,26,42,40,33,0.7879,1.45,2,0,0.863,0.1543,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010418,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T18:00:00,27,42,41,35,0.7714,1.45,0,1,0.782,0.1156,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010419,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T19:00:00,25,42,42,35,0.7143,1.45,0,0,0.676,0.1528,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010420,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T20:00:00,27,42,40,36,0.75,1.45,0,0,0.651,0.0725,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010421,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T21:00:00,33,42,41,37,0.8919,1.45,1,0,0.881,0.0657,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010422,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T22:00:00,29,42,41,36,0.8056,1.45,0,0,0.755,0.1007,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010423,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-04T23:00:00,28,42,41,35,0.8,1.45,0,0,0.744,0.1196,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010500,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T00:00:00,30,42,42,39,0.7692,1.45,0,1,0.776,0.0401,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010501,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T01:00:00,37,42,42,38,0.9737,1.45,3,1,0.756,0.071,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010502,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T02:00:00,31,42,40,36,0.8611,1.45,0,0,0.794,0.0811,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010503,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T03:00:00,36,42,42,39,0.9231,1.45,0,0,0.735,0.0421,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010504,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T04:00:00,31,42,41,36,0.8611,1.45,0,1,0.837,0.0961,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010505,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T05:00:00,31,42,41,38,0.8158,1.45,1,1,0.809,0.0403,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010506,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T06:00:00,32,42,42,38,0.8421,1.45,1,0,0.858,0.0651,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010507,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T07:00:00,36,42,42,40,0.9,1.45,1,1,0.679,0.0226,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010508,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T08:00:00,39,42,42,40,0.975,1.45,4,2,0.852,0.0308,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010509,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T09:00:00,34,42,40,38,0.8947,1.45,1,2,0.808,0.0317,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010510,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T10:00:00,34,42,42,37,0.9189,1.45,2,1,0.73,0.0881,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010511,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T11:00:00,40,42,42,39,1.0256,1.45,3,2,0.821,0.0437,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010512,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-05T12:00:00,34,42,42,37,0.9189,1.45,4,1,0.675,0.0915,True
