waitlist_snapshot_id,site_id,program,week_start_date,waitlist_total,waitlist_over_target,median_wait_days,p90_wait_days,third_next_available_days,urgent_breach_risk,synthetic_demo
WAIT_SITE_STOLLERY_INSPIRED_cardiology_003,SITE_STOLLERY_INSPIRED,cardiology,2026-01-26,110,44,32,57,24,0.203,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_004,SITE_STOLLERY_INSPIRED,cardiology,2026-02-02,101,35,36,64,27,0.155,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_005,SITE_STOLLERY_INSPIRED,cardiology,2026-02-09,84,29,32,57,24,0.148,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_006,SITE_STOLLERY_INSPIRED,cardiology,2026-02-16,61,15,12,21,9,0.061,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_007,SITE_STOLLERY_INSPIRED,cardiology,2026-02-23,65,26,36,64,27,0.203,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_008,SITE_STOLLERY_INSPIRED,cardiology,2026-03-02,65,19,21,38,16,0.107,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_009,SITE_STOLLERY_INSPIRED,cardiology,2026-03-09,68,29,40,72,30,0.234,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_010,SITE_STOLLERY_INSPIRED,cardiology,2026-03-16,64,23,29,52,22,0.17,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_011,SITE_STOLLERY_INSPIRED,cardiology,2026-03-23,50,14,5,10,3,0.09,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_012,SITE_STOLLERY_INSPIRED,cardiology,2026-03-30,30,7,5,10,3,0.056,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_013,SITE_STOLLERY_INSPIRED,cardiology,2026-04-06,37,10,13,24,10,0.097,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_014,SITE_STOLLERY_INSPIRED,cardiology,2026-04-13,26,6,13,24,10,0.057,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_015,SITE_STOLLERY_INSPIRED,cardiology,2026-04-20,27,7,9,16,7,0.077,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_016,SITE_STOLLERY_INSPIRED,cardiology,2026-04-27,19,4,9,16,7,0.031,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_000,SITE_STOLLERY_INSPIRED,neurology,2026-01-05,132,77,70,124,52,0.39,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_001,SITE_STOLLERY_INSPIRED,neurology,2026-01-12,110,42,29,52,22,0.186,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_002,SITE_STOLLERY_INSPIRED,neurology,2026-01-19,113,55,52,93,39,0.287,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_003,SITE_STOLLERY_INSPIRED,neurology,2026-01-26,115,56,51,91,38,0.294,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_004,SITE_STOLLERY_INSPIRED,neurology,2026-02-02,107,37,17,31,13,0.151,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_005,SITE_STOLLERY_INSPIRED,neurology,2026-02-09,116,63,87,156,65,0.343,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_006,SITE_STOLLERY_INSPIRED,neurology,2026-02-16,104,37,22,40,17,0.162,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_007,SITE_STOLLERY_INSPIRED,neurology,2026-02-23,89,28,9,16,7,0.125,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_008,SITE_STOLLERY_INSPIRED,neurology,2026-03-02,91,39,36,64,27,0.236,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_009,SITE_STOLLERY_INSPIRED,neurology,2026-03-09,96,46,44,79,33,0.284,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_010,SITE_STOLLERY_INSPIRED,neurology,2026-03-16,99,38,31,55,23,0.192,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_011,SITE_STOLLERY_INSPIRED,neurology,2026-03-23,79,25,18,33,14,0.122,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_012,SITE_STOLLERY_INSPIRED,neurology,2026-03-30,79,30,28,50,21,0.186,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_013,SITE_STOLLERY_INSPIRED,neurology,2026-04-06,69,21,29,52,22,0.117,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_014,SITE_STOLLERY_INSPIRED,neurology,2026-04-13,63,22,5,10,4,0.152,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_015,SITE_STOLLERY_INSPIRED,neurology,2026-04-20,60,18,6,12,5,0.107,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_016,SITE_STOLLERY_INSPIRED,neurology,2026-04-27,74,33,24,43,18,0.257,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_000,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-05,208,106,52,93,39,0.312,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_001,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-12,212,152,98,175,73,0.607,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_002,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-19,213,151,94,168,70,0.513,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_003,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-26,218,156,81,144,60,0.527,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_004,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-02,213,126,72,129,54,0.394,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_005,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-09,215,154,108,192,80,0.585,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_006,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-16,200,96,48,86,36,0.283,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_007,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-23,193,109,58,103,43,0.365,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_008,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-02,180,82,45,81,34,0.259,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_009,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-09,187,134,93,165,69,0.559,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_010,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-16,186,97,54,96,40,0.323,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_011,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-23,173,92,59,105,44,0.336,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_012,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-30,170,96,59,105,44,0.369,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_013,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-06,170,115,79,141,59,0.477,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_014,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-13,159,64,37,67,28,0.203,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_015,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-20,150,74,45,81,34,0.295,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_016,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-27,147,72,45,81,34,0.293,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_000,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-05,179,93,58,103,43,0.32,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_001,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-12,182,105,71,127,53,0.38,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_002,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-19,176,100,56,100,42,0.374,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_003,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-26,162,76,41,74,31,0.269,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_004,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-02,153,65,40,72,30,0.226,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_005,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-09,144,62,28,50,21,0.236,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_006,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-16,137,59,40,72,30,0.237,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_007,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-23,141,85,75,134,56,0.406,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_008,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-02,126,47,36,64,27,0.179,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_009,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-09,126,65,52,93,39,0.323,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_010,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-16,124,54,45,81,34,0.24,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_011,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-23,120,52,33,60,25,0.234,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_012,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-30,102,33,33,60,25,0.131,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_013,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-06,94,33,24,43,18,0.152,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_014,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-13,75,23,21,38,16,0.114,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_015,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-20,73,26,18,33,14,0.162,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_016,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-27,70,23,22,40,17,0.138,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_000,SITE_STOLLERY_INSPIRED,complex_care,2026-01-05,225,162,106,189,79,0.636,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_001,SITE_STOLLERY_INSPIRED,complex_care,2026-01-12,223,133,62,110,46,0.398,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_002,SITE_STOLLERY_INSPIRED,complex_care,2026-01-19,215,120,49,88,37,0.36,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_003,SITE_STOLLERY_INSPIRED,complex_care,2026-01-26,210,119,67,120,50,0.367,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_004,SITE_STOLLERY_INSPIRED,complex_care,2026-02-02,192,96,52,93,39,0.305,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_005,SITE_STOLLERY_INSPIRED,complex_care,2026-02-09,185,115,58,103,43,0.422,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_006,SITE_STOLLERY_INSPIRED,complex_care,2026-02-16,182,100,70,124,52,0.353,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_007,SITE_STOLLERY_INSPIRED,complex_care,2026-02-23,172,82,52,93,39,0.278,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_008,SITE_STOLLERY_INSPIRED,complex_care,2026-03-02,167,79,31,55,23,0.276,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_009,SITE_STOLLERY_INSPIRED,complex_care,2026-03-09,163,91,68,122,51,0.363,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_010,SITE_STOLLERY_INSPIRED,complex_care,2026-03-16,160,71,43,76,32,0.246,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_011,SITE_STOLLERY_INSPIRED,complex_care,2026-03-23,140,50,35,62,26,0.163,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_012,SITE_STOLLERY_INSPIRED,complex_care,2026-03-30,139,65,33,60,25,0.269,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_013,SITE_STOLLERY_INSPIRED,complex_care,2026-04-06,146,87,67,120,50,0.4,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_014,SITE_STOLLERY_INSPIRED,complex_care,2026-04-13,149,81,60,108,45,0.349,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_015,SITE_STOLLERY_INSPIRED,complex_care,2026-04-20,131,52,27,48,20,0.201,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_016,SITE_STOLLERY_INSPIRED,complex_care,2026-04-27,118,51,29,52,22,0.233,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_000,SITE_STOLLERY_INSPIRED,mental_health,2026-01-05,261,183,82,146,61,0.504,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_001,SITE_STOLLERY_INSPIRED,mental_health,2026-01-12,267,192,93,165,69,0.537,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_002,SITE_STOLLERY_INSPIRED,mental_health,2026-01-19,266,191,126,225,94,0.707,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_003,SITE_STOLLERY_INSPIRED,mental_health,2026-01-26,261,174,87,156,65,0.47,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_004,SITE_STOLLERY_INSPIRED,mental_health,2026-02-02,267,192,128,228,95,0.694,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_005,SITE_STOLLERY_INSPIRED,mental_health,2026-02-09,253,145,66,117,49,0.374,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_006,SITE_STOLLERY_INSPIRED,mental_health,2026-02-16,242,174,91,163,68,0.552,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_007,SITE_STOLLERY_INSPIRED,mental_health,2026-02-23,249,179,113,201,84,0.712,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_008,SITE_STOLLERY_INSPIRED,mental_health,2026-03-02,243,151,60,108,45,0.423,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_009,SITE_STOLLERY_INSPIRED,mental_health,2026-03-09,246,177,118,211,88,0.667,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_010,SITE_STOLLERY_INSPIRED,mental_health,2026-03-16,233,144,63,112,47,0.422,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_011,SITE_STOLLERY_INSPIRED,mental_health,2026-03-23,224,118,54,96,40,0.329,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_012,SITE_STOLLERY_INSPIRED,mental_health,2026-03-30,225,145,75,134,56,0.447,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_013,SITE_STOLLERY_INSPIRED,mental_health,2026-04-06,214,148,83,148,62,0.492,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_014,SITE_STOLLERY_INSPIRED,mental_health,2026-04-13,212,152,102,182,76,0.561,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_015,SITE_STOLLERY_INSPIRED,mental_health,2026-04-20,200,111,45,81,34,0.357,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_016,SITE_STOLLERY_INSPIRED,mental_health,2026-04-27,190,87,44,79,33,0.261,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_000,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-05,92,35,36,64,27,0.191,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_001,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-12,83,28,14,26,11,0.149,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_002,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-19,89,38,37,67,28,0.232,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_003,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-26,88,34,28,50,21,0.19,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_004,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-02,88,36,29,52,22,0.213,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_005,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-09,84,32,32,57,24,0.188,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_006,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-16,84,34,40,72,30,0.216,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_007,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-23,79,25,16,28,12,0.118,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_008,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-02,75,27,20,36,15,0.164,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_009,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-09,69,22,10,19,8,0.131,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_010,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-16,60,18,5,10,3,0.115,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_011,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-23,66,27,29,52,22,0.217,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_012,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-30,72,30,44,79,33,0.228,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_013,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-06,61,19,22,40,17,0.12,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_014,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-13,71,31,37,67,28,0.24,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_015,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-20,57,15,9,16,7,0.078,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_016,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-27,58,24,25,45,19,0.221,True
WAIT_SITE_ACH_INSPIRED_respiratory_000,SITE_ACH_INSPIRED,respiratory,2026-01-05,152,86,55,98,41,0.369,True
WAIT_SITE_ACH_INSPIRED_respiratory_001,SITE_ACH_INSPIRED,respiratory,2026-01-12,154,69,54,96,40,0.255,True
WAIT_SITE_ACH_INSPIRED_respiratory_002,SITE_ACH_INSPIRED,respiratory,2026-01-19,153,64,33,60,25,0.225,True
WAIT_SITE_ACH_INSPIRED_respiratory_003,SITE_ACH_INSPIRED,respiratory,2026-01-26,151,78,55,98,41,0.317,True
WAIT_SITE_ACH_INSPIRED_respiratory_004,SITE_ACH_INSPIRED,respiratory,2026-02-02,144,56,32,57,24,0.191,True
WAIT_SITE_ACH_INSPIRED_respiratory_005,SITE_ACH_INSPIRED,respiratory,2026-02-09,148,62,40,72,30,0.223,True
WAIT_SITE_ACH_INSPIRED_respiratory_006,SITE_ACH_INSPIRED,respiratory,2026-02-16,153,77,59,105,44,0.303,True
WAIT_SITE_ACH_INSPIRED_respiratory_007,SITE_ACH_INSPIRED,respiratory,2026-02-23,156,73,43,76,32,0.271,True
WAIT_SITE_ACH_INSPIRED_respiratory_008,SITE_ACH_INSPIRED,respiratory,2026-03-02,158,72,44,79,33,0.256,True
WAIT_SITE_ACH_INSPIRED_respiratory_009,SITE_ACH_INSPIRED,respiratory,2026-03-09,161,76,35,62,26,0.275,True
WAIT_SITE_ACH_INSPIRED_respiratory_010,SITE_ACH_INSPIRED,respiratory,2026-03-16,165,101,76,136,57,0.416,True
WAIT_SITE_ACH_INSPIRED_respiratory_011,SITE_ACH_INSPIRED,respiratory,2026-03-23,171,110,66,117,49,0.444,True
WAIT_SITE_ACH_INSPIRED_respiratory_012,SITE_ACH_INSPIRED,respiratory,2026-03-30,165,74,31,55,23,0.254,True
WAIT_SITE_ACH_INSPIRED_respiratory_013,SITE_ACH_INSPIRED,respiratory,2026-04-06,154,68,35,62,26,0.245,True
WAIT_SITE_ACH_INSPIRED_respiratory_014,SITE_ACH_INSPIRED,respiratory,2026-04-13,149,66,40,72,30,0.247,True
WAIT_SITE_ACH_INSPIRED_respiratory_015,SITE_ACH_INSPIRED,respiratory,2026-04-20,142,84,62,110,46,0.393,True
WAIT_SITE_ACH_INSPIRED_respiratory_016,SITE_ACH_INSPIRED,respiratory,2026-04-27,137,63,40,72,30,0.261,True
WAIT_SITE_ACH_INSPIRED_cardiology_000,SITE_ACH_INSPIRED,cardiology,2026-01-05,241,173,125,223,93,0.689,True
WAIT_SITE_ACH_INSPIRED_cardiology_001,SITE_ACH_INSPIRED,cardiology,2026-01-12,235,143,74,132,55,0.41,True
WAIT_SITE_ACH_INSPIRED_cardiology_002,SITE_ACH_INSPIRED,cardiology,2026-01-19,237,170,81,144,60,0.521,True
WAIT_SITE_ACH_INSPIRED_cardiology_003,SITE_ACH_INSPIRED,cardiology,2026-01-26,235,169,101,180,75,0.626,True
WAIT_SITE_ACH_INSPIRED_cardiology_004,SITE_ACH_INSPIRED,cardiology,2026-02-02,237,170,103,184,77,0.643,True
WAIT_SITE_ACH_INSPIRED_cardiology_005,SITE_ACH_INSPIRED,cardiology,2026-02-09,224,111,63,112,47,0.296,True
WAIT_SITE_ACH_INSPIRED_cardiology_006,SITE_ACH_INSPIRED,cardiology,2026-02-16,221,151,76,136,57,0.484,True
WAIT_SITE_ACH_INSPIRED_cardiology_007,SITE_ACH_INSPIRED,cardiology,2026-02-23,213,128,62,110,46,0.404,True
WAIT_SITE_ACH_INSPIRED_cardiology_008,SITE_ACH_INSPIRED,cardiology,2026-03-02,203,114,72,129,54,0.363,True
WAIT_SITE_ACH_INSPIRED_cardiology_009,SITE_ACH_INSPIRED,cardiology,2026-03-09,185,100,64,115,48,0.342,True
WAIT_SITE_ACH_INSPIRED_cardiology_010,SITE_ACH_INSPIRED,cardiology,2026-03-16,190,136,99,177,74,0.534,True
WAIT_SITE_ACH_INSPIRED_cardiology_011,SITE_ACH_INSPIRED,cardiology,2026-03-23,187,103,58,103,43,0.356,True
WAIT_SITE_ACH_INSPIRED_cardiology_012,SITE_ACH_INSPIRED,cardiology,2026-03-30,198,142,105,187,78,0.598,True
WAIT_SITE_ACH_INSPIRED_cardiology_013,SITE_ACH_INSPIRED,cardiology,2026-04-06,200,106,58,103,43,0.331,True
WAIT_SITE_ACH_INSPIRED_cardiology_014,SITE_ACH_INSPIRED,cardiology,2026-04-13,189,98,43,76,32,0.32,True
WAIT_SITE_ACH_INSPIRED_cardiology_015,SITE_ACH_INSPIRED,cardiology,2026-04-20,184,132,94,168,70,0.568,True
WAIT_SITE_ACH_INSPIRED_cardiology_016,SITE_ACH_INSPIRED,cardiology,2026-04-27,163,69,43,76,32,0.228,True
WAIT_SITE_ACH_INSPIRED_neurology_000,SITE_ACH_INSPIRED,neurology,2026-01-05,159,68,31,55,23,0.233,True
WAIT_SITE_ACH_INSPIRED_neurology_001,SITE_ACH_INSPIRED,neurology,2026-01-12,162,105,85,151,63,0.453,True
WAIT_SITE_ACH_INSPIRED_neurology_002,SITE_ACH_INSPIRED,neurology,2026-01-19,160,71,40,72,30,0.246,True
WAIT_SITE_ACH_INSPIRED_neurology_003,SITE_ACH_INSPIRED,neurology,2026-01-26,138,54,31,55,23,0.198,True
WAIT_SITE_ACH_INSPIRED_neurology_004,SITE_ACH_INSPIRED,neurology,2026-02-02,128,50,35,62,26,0.193,True
WAIT_SITE_ACH_INSPIRED_neurology_005,SITE_ACH_INSPIRED,neurology,2026-02-09,108,37,17,31,13,0.146,True
WAIT_SITE_ACH_INSPIRED_neurology_006,SITE_ACH_INSPIRED,neurology,2026-02-16,89,27,10,19,8,0.113,True
WAIT_SITE_ACH_INSPIRED_neurology_007,SITE_ACH_INSPIRED,neurology,2026-02-23,80,29,35,62,26,0.172,True
WAIT_SITE_ACH_INSPIRED_neurology_008,SITE_ACH_INSPIRED,neurology,2026-03-02,80,27,43,76,32,0.149,True
WAIT_SITE_ACH_INSPIRED_neurology_009,SITE_ACH_INSPIRED,neurology,2026-03-09,63,20,24,43,18,0.119,True
WAIT_SITE_ACH_INSPIRED_neurology_010,SITE_ACH_INSPIRED,neurology,2026-03-16,58,20,28,50,21,0.158,True
