date_id,date,week_start_date,month,day_of_week,is_weekend,synthetic_school_day
20260217,2026-02-17,2026-02-16,2,Tuesday,False,True
20260218,2026-02-18,2026-02-16,2,Wednesday,False,True
20260219,2026-02-19,2026-02-16,2,Thursday,False,True
20260220,2026-02-20,2026-02-16,2,Friday,False,True
20260221,2026-02-21,2026-02-16,2,Saturday,True,False
20260222,2026-02-22,2026-02-16,2,Sunday,True,False
20260223,2026-02-23,2026-02-23,2,Monday,False,True
20260224,2026-02-24,2026-02-23,2,Tuesday,False,True
20260225,2026-02-25,2026-02-23,2,Wednesday,False,True
20260226,2026-02-26,2026-02-23,2,Thursday,False,True
20260227,2026-02-27,2026-02-23,2,Friday,False,True
20260228,2026-02-28,2026-02-23,2,Saturday,True,False
20260301,2026-03-01,2026-02-23,3,Sunday,True,False
20260302,2026-03-02,2026-03-02,3,Monday,False,True
20260303,2026-03-03,2026-03-02,3,Tuesday,False,True
20260304,2026-03-04,2026-03-02,3,Wednesday,False,True
20260305,2026-03-05,2026-03-02,3,Thursday,False,True
20260306,2026-03-06,2026-03-02,3,Friday,False,True
20260307,2026-03-07,2026-03-02,3,Saturday,True,False
20260308,2026-03-08,2026-03-02,3,Sunday,True,False
20260309,2026-03-09,2026-03-09,3,Monday,False,True
20260310,2026-03-10,2026-03-09,3,Tuesday,False,True
20260311,2026-03-11,2026-03-09,3,Wednesday,False,True
20260312,2026-03-12,2026-03-09,3,Thursday,False,True
20260313,2026-03-13,2026-03-09,3,Friday,False,True
20260314,2026-03-14,2026-03-09,3,Saturday,True,False
20260315,2026-03-15,2026-03-09,3,Sunday,True,False
20260316,2026-03-16,2026-03-16,3,Monday,False,True
20260317,2026-03-17,2026-03-16,3,Tuesday,False,True
20260318,2026-03-18,2026-03-16,3,Wednesday,False,True
20260319,2026-03-19,2026-03-16,3,Thursday,False,True
20260320,2026-03-20,2026-03-16,3,Friday,False,True
20260321,2026-03-21,2026-03-16,3,Saturday,True,False
20260322,2026-03-22,2026-03-16,3,Sunday,True,False
20260323,2026-03-23,2026-03-23,3,Monday,False,True
20260324,2026-03-24,2026-03-23,3,Tuesday,False,True
20260325,2026-03-25,2026-03-23,3,Wednesday,False,True
20260326,2026-03-26,2026-03-23,3,Thursday,False,True
20260327,2026-03-27,2026-03-23,3,Friday,False,True
20260328,2026-03-28,2026-03-23,3,Saturday,True,False
20260329,2026-03-29,2026-03-23,3,Sunday,True,False
20260330,2026-03-30,2026-03-30,3,Monday,False,True
20260331,2026-03-31,2026-03-30,3,Tuesday,False,True
20260401,2026-04-01,2026-03-30,4,Wednesday,False,True
20260402,2026-04-02,2026-03-30,4,Thursday,False,True
20260403,2026-04-03,2026-03-30,4,Friday,False,True
20260404,2026-04-04,2026-03-30,4,Saturday,True,False
20260405,2026-04-05,2026-03-30,4,Sunday,True,False
20260406,2026-04-06,2026-04-06,4,Monday,False,True
20260407,2026-04-07,2026-04-06,4,Tuesday,False,True
20260408,2026-04-08,2026-04-06,4,Wednesday,False,True
20260409,2026-04-09,2026-04-06,4,Thursday,False,True
20260410,2026-04-10,2026-04-06,4,Friday,False,True
20260411,2026-04-11,2026-04-06,4,Saturday,True,False
20260412,2026-04-12,2026-04-06,4,Sunday,True,False
20260413,2026-04-13,2026-04-13,4,Monday,False,True
20260414,2026-04-14,2026-04-13,4,Tuesday,False,True
20260415,2026-04-15,2026-04-13,4,Wednesday,False,True
20260416,2026-04-16,2026-04-13,4,Thursday,False,True
20260417,2026-04-17,2026-04-13,4,Friday,False,True
20260418,2026-04-18,2026-04-13,4,Saturday,True,False
20260419,2026-04-19,2026-04-13,4,Sunday,True,False
20260420,2026-04-20,2026-04-20,4,Monday,False,True
20260421,2026-04-21,2026-04-20,4,Tuesday,False,True
20260422,2026-04-22,2026-04-20,4,Wednesday,False,True
20260423,2026-04-23,2026-04-20,4,Thursday,False,True
20260424,2026-04-24,2026-04-20,4,Friday,False,True
20260425,2026-04-25,2026-04-20,4,Saturday,True,False
20260426,2026-04-26,2026-04-20,4,Sunday,True,False
20260427,2026-04-27,2026-04-27,4,Monday,False,True
20260428,2026-04-28,2026-04-27,4,Tuesday,False,True
20260429,2026-04-29,2026-04-27,4,Wednesday,False,True
20260430,2026-04-30,2026-04-27,4,Thursday,False,True
