clinic_template_capacity_id,site_id,program,week_start_date,slots_available,slots_booked,completed_visits,no_show_rate,late_cancel_rate,virtual_share,new_visit_share,synthetic_demo
SLOT_SITE_STOLLERY_INSPIRED_cardiology_000,SITE_STOLLERY_INSPIRED,cardiology,2026-01-05,41,43,39,0.057,0.052,0.109,0.431,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_001,SITE_STOLLERY_INSPIRED,cardiology,2026-01-12,35,37,33,0.059,0.029,0.316,0.399,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_002,SITE_STOLLERY_INSPIRED,cardiology,2026-01-19,25,27,23,0.099,0.039,0.155,0.457,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_003,SITE_STOLLERY_INSPIRED,cardiology,2026-01-26,30,31,29,0.043,0.042,0.278,0.364,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_004,SITE_STOLLERY_INSPIRED,cardiology,2026-02-02,33,34,31,0.053,0.03,0.242,0.421,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_005,SITE_STOLLERY_INSPIRED,cardiology,2026-02-09,38,39,36,0.043,0.031,0.184,0.433,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_006,SITE_STOLLERY_INSPIRED,cardiology,2026-02-16,41,44,37,0.095,0.029,0.264,0.467,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_007,SITE_STOLLERY_INSPIRED,cardiology,2026-02-23,24,25,23,0.058,0.048,0.186,0.526,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_008,SITE_STOLLERY_INSPIRED,cardiology,2026-03-02,30,31,28,0.062,0.029,0.242,0.333,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_009,SITE_STOLLERY_INSPIRED,cardiology,2026-03-09,19,21,17,0.108,0.042,0.25,0.425,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_010,SITE_STOLLERY_INSPIRED,cardiology,2026-03-16,22,23,21,0.055,0.045,0.216,0.419,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_011,SITE_STOLLERY_INSPIRED,cardiology,2026-03-23,37,38,36,0.033,0.03,0.204,0.537,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_012,SITE_STOLLERY_INSPIRED,cardiology,2026-03-30,38,40,36,0.062,0.024,0.262,0.341,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_013,SITE_STOLLERY_INSPIRED,cardiology,2026-04-06,27,28,25,0.065,0.052,0.153,0.361,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_014,SITE_STOLLERY_INSPIRED,cardiology,2026-04-13,26,27,24,0.063,0.009,0.179,0.484,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_015,SITE_STOLLERY_INSPIRED,cardiology,2026-04-20,22,23,21,0.056,0.035,0.161,0.357,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_016,SITE_STOLLERY_INSPIRED,cardiology,2026-04-27,36,38,33,0.076,0.017,0.261,0.439,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_000,SITE_STOLLERY_INSPIRED,neurology,2026-01-05,19,20,18,0.063,0.056,0.174,0.445,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_001,SITE_STOLLERY_INSPIRED,neurology,2026-01-12,38,39,36,0.052,0.043,0.262,0.625,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_002,SITE_STOLLERY_INSPIRED,neurology,2026-01-19,22,24,20,0.102,0.011,0.26,0.465,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_003,SITE_STOLLERY_INSPIRED,neurology,2026-01-26,23,23,22,0.026,0.016,0.248,0.4,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_004,SITE_STOLLERY_INSPIRED,neurology,2026-02-02,40,44,35,0.119,0.035,0.202,0.319,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_005,SITE_STOLLERY_INSPIRED,neurology,2026-02-09,19,20,18,0.063,0.056,0.276,0.46,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_006,SITE_STOLLERY_INSPIRED,neurology,2026-02-16,36,37,35,0.029,0.043,0.164,0.32,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_007,SITE_STOLLERY_INSPIRED,neurology,2026-02-23,41,44,37,0.094,0.05,0.237,0.541,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_008,SITE_STOLLERY_INSPIRED,neurology,2026-03-02,22,23,20,0.084,0.043,0.154,0.404,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_009,SITE_STOLLERY_INSPIRED,neurology,2026-03-09,19,20,18,0.068,0.034,0.209,0.386,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_010,SITE_STOLLERY_INSPIRED,neurology,2026-03-16,29,31,26,0.101,0.028,0.299,0.426,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_011,SITE_STOLLERY_INSPIRED,neurology,2026-03-23,39,42,36,0.084,0.086,0.24,0.381,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_012,SITE_STOLLERY_INSPIRED,neurology,2026-03-30,23,24,22,0.056,0.016,0.184,0.462,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_013,SITE_STOLLERY_INSPIRED,neurology,2026-04-06,35,37,33,0.067,0.029,0.168,0.474,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_014,SITE_STOLLERY_INSPIRED,neurology,2026-04-13,25,26,23,0.066,0.049,0.214,0.452,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_015,SITE_STOLLERY_INSPIRED,neurology,2026-04-20,29,31,26,0.099,0.027,0.111,0.334,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_016,SITE_STOLLERY_INSPIRED,neurology,2026-04-27,18,19,16,0.102,0.03,0.241,0.465,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_000,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-05,37,41,33,0.114,0.035,0.168,0.407,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_001,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-12,19,19,18,0.041,0.013,0.219,0.373,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_002,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-19,23,24,21,0.076,0.013,0.137,0.456,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_003,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-26,24,26,21,0.11,0.083,0.147,0.331,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_004,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-02,30,32,28,0.073,0.07,0.236,0.398,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_005,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-09,21,22,19,0.09,0.017,0.268,0.382,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_006,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-16,39,41,37,0.062,0.031,0.248,0.517,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_007,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-23,29,30,27,0.066,0.024,0.192,0.433,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_008,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-02,41,43,39,0.051,0.048,0.283,0.4,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_009,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-09,18,20,16,0.114,0.106,0.247,0.46,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_010,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-16,32,34,30,0.074,0.064,0.238,0.451,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_011,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-23,28,29,26,0.057,0.02,0.269,0.37,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_012,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-30,25,26,24,0.044,0.046,0.289,0.406,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_013,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-06,20,22,18,0.106,0.014,0.159,0.45,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_014,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-13,35,38,31,0.106,0.052,0.352,0.42,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_015,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-20,29,30,27,0.057,0.033,0.189,0.564,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_016,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-27,28,28,27,0.03,0.047,0.277,0.411,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_000,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-05,30,31,28,0.067,0.013,0.202,0.381,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_001,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-12,26,27,24,0.064,0.061,0.145,0.347,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_002,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-19,26,28,23,0.097,0.046,0.177,0.526,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_003,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-26,32,34,29,0.078,0.031,0.219,0.378,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_004,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-02,38,40,36,0.056,0.035,0.211,0.314,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_005,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-09,33,35,30,0.089,0.072,0.353,0.576,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_006,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-16,33,35,31,0.065,0.055,0.155,0.495,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_007,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-23,19,20,18,0.053,0.008,0.215,0.426,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_008,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-02,35,37,33,0.068,0.02,0.171,0.456,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_009,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-09,20,22,17,0.129,0.023,0.131,0.449,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_010,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-16,28,30,25,0.107,0.035,0.293,0.329,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_011,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-23,32,34,30,0.065,0.066,0.163,0.428,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_012,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-30,38,39,37,0.029,0.043,0.273,0.365,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_013,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-06,34,38,30,0.126,0.016,0.204,0.58,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_014,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-13,40,41,39,0.031,0.037,0.259,0.535,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_015,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-20,27,30,24,0.127,0.015,0.136,0.495,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_016,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-27,27,28,25,0.072,0.039,0.234,0.413,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_000,SITE_STOLLERY_INSPIRED,complex_care,2026-01-05,20,22,18,0.104,0.034,0.134,0.567,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_001,SITE_STOLLERY_INSPIRED,complex_care,2026-01-12,33,33,32,0.03,0.028,0.225,0.511,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_002,SITE_STOLLERY_INSPIRED,complex_care,2026-01-19,32,35,29,0.097,0.043,0.238,0.426,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_003,SITE_STOLLERY_INSPIRED,complex_care,2026-01-26,32,34,29,0.08,0.088,0.235,0.441,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_004,SITE_STOLLERY_INSPIRED,complex_care,2026-02-02,38,39,37,0.03,0.023,0.193,0.476,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_005,SITE_STOLLERY_INSPIRED,complex_care,2026-02-09,25,26,24,0.045,0.018,0.264,0.329,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_006,SITE_STOLLERY_INSPIRED,complex_care,2026-02-16,29,30,27,0.063,0.02,0.176,0.371,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_007,SITE_STOLLERY_INSPIRED,complex_care,2026-02-23,34,35,33,0.038,0.043,0.208,0.45,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_008,SITE_STOLLERY_INSPIRED,complex_care,2026-03-02,33,33,32,0.029,0.04,0.259,0.468,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_009,SITE_STOLLERY_INSPIRED,complex_care,2026-03-09,26,27,25,0.045,0.059,0.245,0.362,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_010,SITE_STOLLERY_INSPIRED,complex_care,2026-03-16,36,40,32,0.121,0.039,0.172,0.439,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_011,SITE_STOLLERY_INSPIRED,complex_care,2026-03-23,40,41,39,0.028,0.029,0.272,0.378,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_012,SITE_STOLLERY_INSPIRED,complex_care,2026-03-30,28,30,26,0.082,0.018,0.222,0.44,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_013,SITE_STOLLERY_INSPIRED,complex_care,2026-04-06,21,23,19,0.107,0.061,0.146,0.441,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_014,SITE_STOLLERY_INSPIRED,complex_care,2026-04-13,24,26,21,0.145,0.006,0.201,0.31,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_015,SITE_STOLLERY_INSPIRED,complex_care,2026-04-20,40,43,36,0.091,0.033,0.127,0.361,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_016,SITE_STOLLERY_INSPIRED,complex_care,2026-04-27,28,30,26,0.074,0.058,0.151,0.406,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_000,SITE_STOLLERY_INSPIRED,mental_health,2026-01-05,29,32,25,0.153,0.024,0.289,0.341,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_001,SITE_STOLLERY_INSPIRED,mental_health,2026-01-12,27,30,23,0.15,0.03,0.21,0.503,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_002,SITE_STOLLERY_INSPIRED,mental_health,2026-01-19,21,23,19,0.114,0.018,0.143,0.405,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_003,SITE_STOLLERY_INSPIRED,mental_health,2026-01-26,32,34,29,0.092,0.015,0.297,0.267,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_004,SITE_STOLLERY_INSPIRED,mental_health,2026-02-02,22,24,18,0.175,0.016,0.207,0.385,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_005,SITE_STOLLERY_INSPIRED,mental_health,2026-02-09,40,44,35,0.135,0.028,0.205,0.402,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_006,SITE_STOLLERY_INSPIRED,mental_health,2026-02-16,25,28,22,0.127,0.052,0.224,0.585,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_007,SITE_STOLLERY_INSPIRED,mental_health,2026-02-23,19,19,18,0.042,0.055,0.244,0.559,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_008,SITE_STOLLERY_INSPIRED,mental_health,2026-03-02,31,34,28,0.099,0.028,0.314,0.372,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_009,SITE_STOLLERY_INSPIRED,mental_health,2026-03-09,21,23,18,0.135,0.028,0.147,0.335,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_010,SITE_STOLLERY_INSPIRED,mental_health,2026-03-16,31,34,28,0.099,0.066,0.163,0.438,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_011,SITE_STOLLERY_INSPIRED,mental_health,2026-03-23,37,41,31,0.171,0.044,0.139,0.498,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_012,SITE_STOLLERY_INSPIRED,mental_health,2026-03-30,27,29,24,0.102,0.02,0.219,0.534,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_013,SITE_STOLLERY_INSPIRED,mental_health,2026-04-06,25,27,23,0.09,0.03,0.22,0.508,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_014,SITE_STOLLERY_INSPIRED,mental_health,2026-04-13,21,23,18,0.124,0.03,0.405,0.553,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_015,SITE_STOLLERY_INSPIRED,mental_health,2026-04-20,32,35,29,0.096,0.007,0.208,0.396,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_016,SITE_STOLLERY_INSPIRED,mental_health,2026-04-27,41,45,31,0.246,0.021,0.315,0.433,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_000,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-05,27,29,25,0.08,0.013,0.113,0.367,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_001,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-12,27,28,25,0.063,0.012,0.24,0.377,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_002,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-19,22,23,20,0.074,0.039,0.118,0.41,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_003,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-26,27,29,24,0.097,0.02,0.087,0.356,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_004,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-02,25,27,22,0.107,0.013,0.093,0.448,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_005,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-09,25,26,24,0.055,0.017,0.076,0.455,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_006,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-16,21,23,19,0.119,0.028,0.135,0.474,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_007,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-23,34,36,32,0.073,0.042,0.057,0.403,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_008,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-02,29,31,26,0.093,0.043,0.074,0.496,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_009,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-09,31,32,29,0.056,0.025,0.165,0.41,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_010,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-16,34,37,30,0.103,0.017,0.038,0.599,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_011,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-23,19,19,18,0.047,0.016,0.049,0.518,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_012,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-30,18,19,16,0.084,0.019,0.039,0.462,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_013,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-06,27,28,26,0.054,0.069,0.068,0.482,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_014,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-13,18,19,16,0.107,0.026,0.042,0.41,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_015,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-20,35,36,33,0.044,0.021,0.021,0.386,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_016,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-27,18,20,16,0.138,0.015,0.045,0.507,True
SLOT_SITE_ACH_INSPIRED_respiratory_000,SITE_ACH_INSPIRED,respiratory,2026-01-05,22,24,20,0.108,0.024,0.212,0.328,True
SLOT_SITE_ACH_INSPIRED_respiratory_001,SITE_ACH_INSPIRED,respiratory,2026-01-12,31,33,28,0.086,0.034,0.291,0.402,True
SLOT_SITE_ACH_INSPIRED_respiratory_002,SITE_ACH_INSPIRED,respiratory,2026-01-19,37,41,31,0.156,0.033,0.309,0.492,True
SLOT_SITE_ACH_INSPIRED_respiratory_003,SITE_ACH_INSPIRED,respiratory,2026-01-26,26,27,24,0.063,0.021,0.153,0.408,True
SLOT_SITE_ACH_INSPIRED_respiratory_004,SITE_ACH_INSPIRED,respiratory,2026-02-02,41,45,36,0.111,0.019,0.189,0.414,True
SLOT_SITE_ACH_INSPIRED_respiratory_005,SITE_ACH_INSPIRED,respiratory,2026-02-09,34,37,31,0.093,0.042,0.239,0.404,True
SLOT_SITE_ACH_INSPIRED_respiratory_006,SITE_ACH_INSPIRED,respiratory,2026-02-16,27,28,25,0.074,0.012,0.285,0.506,True
SLOT_SITE_ACH_INSPIRED_respiratory_007,SITE_ACH_INSPIRED,respiratory,2026-02-23,31,32,30,0.036,0.051,0.266,0.421,True
SLOT_SITE_ACH_INSPIRED_respiratory_008,SITE_ACH_INSPIRED,respiratory,2026-03-02,34,37,30,0.107,0.089,0.209,0.358,True
SLOT_SITE_ACH_INSPIRED_respiratory_009,SITE_ACH_INSPIRED,respiratory,2026-03-09,32,35,28,0.111,0.024,0.257,0.384,True
SLOT_SITE_ACH_INSPIRED_respiratory_010,SITE_ACH_INSPIRED,respiratory,2026-03-16,22,22,21,0.026,0.026,0.157,0.447,True
SLOT_SITE_ACH_INSPIRED_respiratory_011,SITE_ACH_INSPIRED,respiratory,2026-03-23,22,24,19,0.117,0.024,0.078,0.391,True
SLOT_SITE_ACH_INSPIRED_respiratory_012,SITE_ACH_INSPIRED,respiratory,2026-03-30,37,39,35,0.058,0.068,0.245,0.31,True
SLOT_SITE_ACH_INSPIRED_respiratory_013,SITE_ACH_INSPIRED,respiratory,2026-04-06,34,38,30,0.128,0.07,0.187,0.269,True
SLOT_SITE_ACH_INSPIRED_respiratory_014,SITE_ACH_INSPIRED,respiratory,2026-04-13,32,35,28,0.114,0.013,0.17,0.472,True
SLOT_SITE_ACH_INSPIRED_respiratory_015,SITE_ACH_INSPIRED,respiratory,2026-04-20,20,22,18,0.114,0.054,0.199,0.32,True
SLOT_SITE_ACH_INSPIRED_respiratory_016,SITE_ACH_INSPIRED,respiratory,2026-04-27,29,32,25,0.148,0.031,0.132,0.457,True
SLOT_SITE_ACH_INSPIRED_cardiology_000,SITE_ACH_INSPIRED,cardiology,2026-01-05,19,21,17,0.126,0.052,0.164,0.436,True
SLOT_SITE_ACH_INSPIRED_cardiology_001,SITE_ACH_INSPIRED,cardiology,2026-01-12,31,33,28,0.095,0.078,0.2,0.437,True
SLOT_SITE_ACH_INSPIRED_cardiology_002,SITE_ACH_INSPIRED,cardiology,2026-01-19,26,27,25,0.055,0.032,0.297,0.418,True
SLOT_SITE_ACH_INSPIRED_cardiology_003,SITE_ACH_INSPIRED,cardiology,2026-01-26,21,21,20,0.033,0.053,0.219,0.409,True
SLOT_SITE_ACH_INSPIRED_cardiology_004,SITE_ACH_INSPIRED,cardiology,2026-02-02,21,22,20,0.068,0.004,0.296,0.554,True
SLOT_SITE_ACH_INSPIRED_cardiology_005,SITE_ACH_INSPIRED,cardiology,2026-02-09,41,44,38,0.08,0.021,0.293,0.499,True
SLOT_SITE_ACH_INSPIRED_cardiology_006,SITE_ACH_INSPIRED,cardiology,2026-02-16,25,26,23,0.076,0.014,0.217,0.378,True
SLOT_SITE_ACH_INSPIRED_cardiology_007,SITE_ACH_INSPIRED,cardiology,2026-02-23,29,32,26,0.121,0.02,0.13,0.437,True
SLOT_SITE_ACH_INSPIRED_cardiology_008,SITE_ACH_INSPIRED,cardiology,2026-03-02,30,31,29,0.039,0.024,0.175,0.367,True
