appointment_id,site_id,program,appointment_week,appointments_scheduled,appointments_completed,appointments_no_show_or_late_cancel,synthetic_demo
APPT_SITE_STOLLERY_INSPIRED_neurology_010,SITE_STOLLERY_INSPIRED,neurology,2026-03-16,29,26,3,True
APPT_SITE_STOLLERY_INSPIRED_neurology_011,SITE_STOLLERY_INSPIRED,neurology,2026-03-23,39,36,3,True
APPT_SITE_STOLLERY_INSPIRED_neurology_012,SITE_STOLLERY_INSPIRED,neurology,2026-03-30,23,22,1,True
APPT_SITE_STOLLERY_INSPIRED_neurology_013,SITE_STOLLERY_INSPIRED,neurology,2026-04-06,35,33,2,True
APPT_SITE_STOLLERY_INSPIRED_neurology_014,SITE_STOLLERY_INSPIRED,neurology,2026-04-13,25,23,2,True
APPT_SITE_STOLLERY_INSPIRED_neurology_015,SITE_STOLLERY_INSPIRED,neurology,2026-04-20,29,26,3,True
APPT_SITE_STOLLERY_INSPIRED_neurology_016,SITE_STOLLERY_INSPIRED,neurology,2026-04-27,18,16,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_000,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-05,37,33,4,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_001,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-12,19,18,1,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_002,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-19,23,21,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_003,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-26,24,21,3,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_004,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-02,30,28,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_005,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-09,21,19,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_006,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-16,39,37,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_007,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-23,29,27,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_008,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-02,41,39,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_009,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-09,18,16,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_010,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-16,32,30,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_011,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-23,28,26,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_012,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-30,25,24,1,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_013,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-06,20,18,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_014,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-13,35,31,4,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_015,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-20,29,27,2,True
APPT_SITE_STOLLERY_INSPIRED_surgery_followup_016,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-27,28,27,1,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_000,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-05,30,28,2,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_001,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-12,26,24,2,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_002,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-19,26,23,3,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_003,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-26,32,29,3,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_004,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-02,38,36,2,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_005,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-09,33,30,3,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_006,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-16,33,31,2,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_007,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-23,19,18,1,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_008,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-02,35,33,2,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_009,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-09,20,17,3,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_010,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-16,28,25,3,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_011,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-23,32,30,2,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_012,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-30,38,37,1,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_013,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-06,34,30,4,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_014,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-13,40,39,1,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_015,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-20,27,24,3,True
APPT_SITE_STOLLERY_INSPIRED_oncology_survivorship_016,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-27,27,25,2,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_000,SITE_STOLLERY_INSPIRED,complex_care,2026-01-05,20,18,2,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_001,SITE_STOLLERY_INSPIRED,complex_care,2026-01-12,33,32,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_002,SITE_STOLLERY_INSPIRED,complex_care,2026-01-19,32,29,3,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_003,SITE_STOLLERY_INSPIRED,complex_care,2026-01-26,32,29,3,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_004,SITE_STOLLERY_INSPIRED,complex_care,2026-02-02,38,37,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_005,SITE_STOLLERY_INSPIRED,complex_care,2026-02-09,25,24,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_006,SITE_STOLLERY_INSPIRED,complex_care,2026-02-16,29,27,2,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_007,SITE_STOLLERY_INSPIRED,complex_care,2026-02-23,34,33,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_008,SITE_STOLLERY_INSPIRED,complex_care,2026-03-02,33,32,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_009,SITE_STOLLERY_INSPIRED,complex_care,2026-03-09,26,25,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_010,SITE_STOLLERY_INSPIRED,complex_care,2026-03-16,36,32,4,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_011,SITE_STOLLERY_INSPIRED,complex_care,2026-03-23,40,39,1,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_012,SITE_STOLLERY_INSPIRED,complex_care,2026-03-30,28,26,2,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_013,SITE_STOLLERY_INSPIRED,complex_care,2026-04-06,21,19,2,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_014,SITE_STOLLERY_INSPIRED,complex_care,2026-04-13,24,21,3,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_015,SITE_STOLLERY_INSPIRED,complex_care,2026-04-20,40,36,4,True
APPT_SITE_STOLLERY_INSPIRED_complex_care_016,SITE_STOLLERY_INSPIRED,complex_care,2026-04-27,28,26,2,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_000,SITE_STOLLERY_INSPIRED,mental_health,2026-01-05,29,25,4,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_001,SITE_STOLLERY_INSPIRED,mental_health,2026-01-12,27,23,4,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_002,SITE_STOLLERY_INSPIRED,mental_health,2026-01-19,21,19,2,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_003,SITE_STOLLERY_INSPIRED,mental_health,2026-01-26,32,29,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_004,SITE_STOLLERY_INSPIRED,mental_health,2026-02-02,22,18,4,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_005,SITE_STOLLERY_INSPIRED,mental_health,2026-02-09,40,35,5,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_006,SITE_STOLLERY_INSPIRED,mental_health,2026-02-16,25,22,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_007,SITE_STOLLERY_INSPIRED,mental_health,2026-02-23,19,18,1,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_008,SITE_STOLLERY_INSPIRED,mental_health,2026-03-02,31,28,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_009,SITE_STOLLERY_INSPIRED,mental_health,2026-03-09,21,18,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_010,SITE_STOLLERY_INSPIRED,mental_health,2026-03-16,31,28,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_011,SITE_STOLLERY_INSPIRED,mental_health,2026-03-23,37,31,6,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_012,SITE_STOLLERY_INSPIRED,mental_health,2026-03-30,27,24,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_013,SITE_STOLLERY_INSPIRED,mental_health,2026-04-06,25,23,2,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_014,SITE_STOLLERY_INSPIRED,mental_health,2026-04-13,21,18,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_015,SITE_STOLLERY_INSPIRED,mental_health,2026-04-20,32,29,3,True
APPT_SITE_STOLLERY_INSPIRED_mental_health_016,SITE_STOLLERY_INSPIRED,mental_health,2026-04-27,41,31,10,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_000,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-05,27,25,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_001,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-12,27,25,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_002,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-19,22,20,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_003,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-26,27,24,3,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_004,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-02,25,22,3,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_005,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-09,25,24,1,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_006,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-16,21,19,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_007,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-23,34,32,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_008,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-02,29,26,3,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_009,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-09,31,29,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_010,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-16,34,30,4,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_011,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-23,19,18,1,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_012,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-30,18,16,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_013,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-06,27,26,1,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_014,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-13,18,16,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_015,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-20,35,33,2,True
APPT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_016,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-27,18,16,2,True
APPT_SITE_ACH_INSPIRED_respiratory_000,SITE_ACH_INSPIRED,respiratory,2026-01-05,22,20,2,True
APPT_SITE_ACH_INSPIRED_respiratory_001,SITE_ACH_INSPIRED,respiratory,2026-01-12,31,28,3,True
APPT_SITE_ACH_INSPIRED_respiratory_002,SITE_ACH_INSPIRED,respiratory,2026-01-19,37,31,6,True
APPT_SITE_ACH_INSPIRED_respiratory_003,SITE_ACH_INSPIRED,respiratory,2026-01-26,26,24,2,True
APPT_SITE_ACH_INSPIRED_respiratory_004,SITE_ACH_INSPIRED,respiratory,2026-02-02,41,36,5,True
APPT_SITE_ACH_INSPIRED_respiratory_005,SITE_ACH_INSPIRED,respiratory,2026-02-09,34,31,3,True
APPT_SITE_ACH_INSPIRED_respiratory_006,SITE_ACH_INSPIRED,respiratory,2026-02-16,27,25,2,True
APPT_SITE_ACH_INSPIRED_respiratory_007,SITE_ACH_INSPIRED,respiratory,2026-02-23,31,30,1,True
APPT_SITE_ACH_INSPIRED_respiratory_008,SITE_ACH_INSPIRED,respiratory,2026-03-02,34,30,4,True
APPT_SITE_ACH_INSPIRED_respiratory_009,SITE_ACH_INSPIRED,respiratory,2026-03-09,32,28,4,True
APPT_SITE_ACH_INSPIRED_respiratory_010,SITE_ACH_INSPIRED,respiratory,2026-03-16,22,21,1,True
APPT_SITE_ACH_INSPIRED_respiratory_011,SITE_ACH_INSPIRED,respiratory,2026-03-23,22,19,3,True
APPT_SITE_ACH_INSPIRED_respiratory_012,SITE_ACH_INSPIRED,respiratory,2026-03-30,37,35,2,True
APPT_SITE_ACH_INSPIRED_respiratory_013,SITE_ACH_INSPIRED,respiratory,2026-04-06,34,30,4,True
APPT_SITE_ACH_INSPIRED_respiratory_014,SITE_ACH_INSPIRED,respiratory,2026-04-13,32,28,4,True
APPT_SITE_ACH_INSPIRED_respiratory_015,SITE_ACH_INSPIRED,respiratory,2026-04-20,20,18,2,True
APPT_SITE_ACH_INSPIRED_respiratory_016,SITE_ACH_INSPIRED,respiratory,2026-04-27,29,25,4,True
APPT_SITE_ACH_INSPIRED_cardiology_000,SITE_ACH_INSPIRED,cardiology,2026-01-05,19,17,2,True
APPT_SITE_ACH_INSPIRED_cardiology_001,SITE_ACH_INSPIRED,cardiology,2026-01-12,31,28,3,True
APPT_SITE_ACH_INSPIRED_cardiology_002,SITE_ACH_INSPIRED,cardiology,2026-01-19,26,25,1,True
APPT_SITE_ACH_INSPIRED_cardiology_003,SITE_ACH_INSPIRED,cardiology,2026-01-26,21,20,1,True
APPT_SITE_ACH_INSPIRED_cardiology_004,SITE_ACH_INSPIRED,cardiology,2026-02-02,21,20,1,True
APPT_SITE_ACH_INSPIRED_cardiology_005,SITE_ACH_INSPIRED,cardiology,2026-02-09,41,38,3,True
APPT_SITE_ACH_INSPIRED_cardiology_006,SITE_ACH_INSPIRED,cardiology,2026-02-16,25,23,2,True
APPT_SITE_ACH_INSPIRED_cardiology_007,SITE_ACH_INSPIRED,cardiology,2026-02-23,29,26,3,True
APPT_SITE_ACH_INSPIRED_cardiology_008,SITE_ACH_INSPIRED,cardiology,2026-03-02,30,29,1,True
APPT_SITE_ACH_INSPIRED_cardiology_009,SITE_ACH_INSPIRED,cardiology,2026-03-09,31,30,1,True
APPT_SITE_ACH_INSPIRED_cardiology_010,SITE_ACH_INSPIRED,cardiology,2026-03-16,19,18,1,True
APPT_SITE_ACH_INSPIRED_cardiology_011,SITE_ACH_INSPIRED,cardiology,2026-03-23,30,28,2,True
APPT_SITE_ACH_INSPIRED_cardiology_012,SITE_ACH_INSPIRED,cardiology,2026-03-30,18,16,2,True
APPT_SITE_ACH_INSPIRED_cardiology_013,SITE_ACH_INSPIRED,cardiology,2026-04-06,30,28,2,True
APPT_SITE_ACH_INSPIRED_cardiology_014,SITE_ACH_INSPIRED,cardiology,2026-04-13,32,30,2,True
APPT_SITE_ACH_INSPIRED_cardiology_015,SITE_ACH_INSPIRED,cardiology,2026-04-20,18,18,0,True
APPT_SITE_ACH_INSPIRED_cardiology_016,SITE_ACH_INSPIRED,cardiology,2026-04-27,37,35,2,True
APPT_SITE_ACH_INSPIRED_neurology_000,SITE_ACH_INSPIRED,neurology,2026-01-05,38,35,3,True
APPT_SITE_ACH_INSPIRED_neurology_001,SITE_ACH_INSPIRED,neurology,2026-01-12,20,19,1,True
APPT_SITE_ACH_INSPIRED_neurology_002,SITE_ACH_INSPIRED,neurology,2026-01-19,36,33,3,True
APPT_SITE_ACH_INSPIRED_neurology_003,SITE_ACH_INSPIRED,neurology,2026-01-26,40,37,3,True
APPT_SITE_ACH_INSPIRED_neurology_004,SITE_ACH_INSPIRED,neurology,2026-02-02,36,31,5,True
APPT_SITE_ACH_INSPIRED_neurology_005,SITE_ACH_INSPIRED,neurology,2026-02-09,36,33,3,True
APPT_SITE_ACH_INSPIRED_neurology_006,SITE_ACH_INSPIRED,neurology,2026-02-16,40,37,3,True
APPT_SITE_ACH_INSPIRED_neurology_007,SITE_ACH_INSPIRED,neurology,2026-02-23,29,27,2,True
APPT_SITE_ACH_INSPIRED_neurology_008,SITE_ACH_INSPIRED,neurology,2026-03-02,31,30,1,True
APPT_SITE_ACH_INSPIRED_neurology_009,SITE_ACH_INSPIRED,neurology,2026-03-09,30,28,2,True
APPT_SITE_ACH_INSPIRED_neurology_010,SITE_ACH_INSPIRED,neurology,2026-03-16,23,22,1,True
APPT_SITE_ACH_INSPIRED_neurology_011,SITE_ACH_INSPIRED,neurology,2026-03-23,37,34,3,True
APPT_SITE_ACH_INSPIRED_neurology_012,SITE_ACH_INSPIRED,neurology,2026-03-30,28,26,2,True
APPT_SITE_ACH_INSPIRED_neurology_013,SITE_ACH_INSPIRED,neurology,2026-04-06,25,22,3,True
APPT_SITE_ACH_INSPIRED_neurology_014,SITE_ACH_INSPIRED,neurology,2026-04-13,21,19,2,True
APPT_SITE_ACH_INSPIRED_neurology_015,SITE_ACH_INSPIRED,neurology,2026-04-20,32,29,3,True
APPT_SITE_ACH_INSPIRED_neurology_016,SITE_ACH_INSPIRED,neurology,2026-04-27,26,25,1,True
APPT_SITE_ACH_INSPIRED_surgery_followup_000,SITE_ACH_INSPIRED,surgery_followup,2026-01-05,39,36,3,True
APPT_SITE_ACH_INSPIRED_surgery_followup_001,SITE_ACH_INSPIRED,surgery_followup,2026-01-12,33,30,3,True
APPT_SITE_ACH_INSPIRED_surgery_followup_002,SITE_ACH_INSPIRED,surgery_followup,2026-01-19,27,26,1,True
APPT_SITE_ACH_INSPIRED_surgery_followup_003,SITE_ACH_INSPIRED,surgery_followup,2026-01-26,25,23,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_004,SITE_ACH_INSPIRED,surgery_followup,2026-02-02,28,26,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_005,SITE_ACH_INSPIRED,surgery_followup,2026-02-09,22,20,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_006,SITE_ACH_INSPIRED,surgery_followup,2026-02-16,40,37,3,True
APPT_SITE_ACH_INSPIRED_surgery_followup_007,SITE_ACH_INSPIRED,surgery_followup,2026-02-23,34,30,4,True
APPT_SITE_ACH_INSPIRED_surgery_followup_008,SITE_ACH_INSPIRED,surgery_followup,2026-03-02,40,35,5,True
APPT_SITE_ACH_INSPIRED_surgery_followup_009,SITE_ACH_INSPIRED,surgery_followup,2026-03-09,20,18,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_010,SITE_ACH_INSPIRED,surgery_followup,2026-03-16,23,21,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_011,SITE_ACH_INSPIRED,surgery_followup,2026-03-23,40,35,5,True
APPT_SITE_ACH_INSPIRED_surgery_followup_012,SITE_ACH_INSPIRED,surgery_followup,2026-03-30,39,36,3,True
APPT_SITE_ACH_INSPIRED_surgery_followup_013,SITE_ACH_INSPIRED,surgery_followup,2026-04-06,19,17,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_014,SITE_ACH_INSPIRED,surgery_followup,2026-04-13,19,17,2,True
APPT_SITE_ACH_INSPIRED_surgery_followup_015,SITE_ACH_INSPIRED,surgery_followup,2026-04-20,18,17,1,True
APPT_SITE_ACH_INSPIRED_surgery_followup_016,SITE_ACH_INSPIRED,surgery_followup,2026-04-27,28,26,2,True
APPT_SITE_ACH_INSPIRED_oncology_survivorship_000,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-05,26,24,2,True
APPT_SITE_ACH_INSPIRED_oncology_survivorship_001,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-12,41,38,3,True
APPT_SITE_ACH_INSPIRED_oncology_survivorship_002,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-19,31,29,2,True
