fct_post_discharge_followup_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,19,0.79,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,1,0.999,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,19,0.381,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,6,0.305,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,11,0.297,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,12,0.056,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,7,0.36,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,8,0.678,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,18,0.947,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,14,0.985,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,4,0.825,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,18,0.745,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,4,0.992,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,16,0.011,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,13,0.348,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,8,0.117,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,12,0.327,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,5,0.93,review,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,18,0.103,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,6,0.955,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,19,0.65,ok,True
