no_show_late_cancel_id,site_id,program,week_start_date,no_show_rate,late_cancel_rate,synthetic_demo
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_003,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-26,0.11,0.083,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_004,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-02,0.073,0.07,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_005,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-09,0.09,0.017,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_006,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-16,0.062,0.031,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_007,SITE_STOLLERY_INSPIRED,surgery_followup,2026-02-23,0.066,0.024,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_008,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-02,0.051,0.048,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_009,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-09,0.114,0.106,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_010,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-16,0.074,0.064,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_011,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-23,0.057,0.02,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_012,SITE_STOLLERY_INSPIRED,surgery_followup,2026-03-30,0.044,0.046,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_013,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-06,0.106,0.014,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_014,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-13,0.106,0.052,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_015,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-20,0.057,0.033,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_016,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-27,0.03,0.047,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_000,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-05,0.067,0.013,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_001,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-12,0.064,0.061,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_002,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-19,0.097,0.046,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_003,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-01-26,0.078,0.031,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_004,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-02,0.056,0.035,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_005,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-09,0.089,0.072,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_006,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-16,0.065,0.055,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_007,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-02-23,0.053,0.008,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_008,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-02,0.068,0.02,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_009,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-09,0.129,0.023,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_010,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-16,0.107,0.035,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_011,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-23,0.065,0.066,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_012,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-03-30,0.029,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_013,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-06,0.126,0.016,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_014,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-13,0.031,0.037,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_015,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-20,0.127,0.015,True
SLOT_SITE_STOLLERY_INSPIRED_oncology_survivorship_016,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-27,0.072,0.039,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_000,SITE_STOLLERY_INSPIRED,complex_care,2026-01-05,0.104,0.034,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_001,SITE_STOLLERY_INSPIRED,complex_care,2026-01-12,0.03,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_002,SITE_STOLLERY_INSPIRED,complex_care,2026-01-19,0.097,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_003,SITE_STOLLERY_INSPIRED,complex_care,2026-01-26,0.08,0.088,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_004,SITE_STOLLERY_INSPIRED,complex_care,2026-02-02,0.03,0.023,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_005,SITE_STOLLERY_INSPIRED,complex_care,2026-02-09,0.045,0.018,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_006,SITE_STOLLERY_INSPIRED,complex_care,2026-02-16,0.063,0.02,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_007,SITE_STOLLERY_INSPIRED,complex_care,2026-02-23,0.038,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_008,SITE_STOLLERY_INSPIRED,complex_care,2026-03-02,0.029,0.04,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_009,SITE_STOLLERY_INSPIRED,complex_care,2026-03-09,0.045,0.059,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_010,SITE_STOLLERY_INSPIRED,complex_care,2026-03-16,0.121,0.039,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_011,SITE_STOLLERY_INSPIRED,complex_care,2026-03-23,0.028,0.029,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_012,SITE_STOLLERY_INSPIRED,complex_care,2026-03-30,0.082,0.018,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_013,SITE_STOLLERY_INSPIRED,complex_care,2026-04-06,0.107,0.061,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_014,SITE_STOLLERY_INSPIRED,complex_care,2026-04-13,0.145,0.006,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_015,SITE_STOLLERY_INSPIRED,complex_care,2026-04-20,0.091,0.033,True
SLOT_SITE_STOLLERY_INSPIRED_complex_care_016,SITE_STOLLERY_INSPIRED,complex_care,2026-04-27,0.074,0.058,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_000,SITE_STOLLERY_INSPIRED,mental_health,2026-01-05,0.153,0.024,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_001,SITE_STOLLERY_INSPIRED,mental_health,2026-01-12,0.15,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_002,SITE_STOLLERY_INSPIRED,mental_health,2026-01-19,0.114,0.018,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_003,SITE_STOLLERY_INSPIRED,mental_health,2026-01-26,0.092,0.015,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_004,SITE_STOLLERY_INSPIRED,mental_health,2026-02-02,0.175,0.016,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_005,SITE_STOLLERY_INSPIRED,mental_health,2026-02-09,0.135,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_006,SITE_STOLLERY_INSPIRED,mental_health,2026-02-16,0.127,0.052,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_007,SITE_STOLLERY_INSPIRED,mental_health,2026-02-23,0.042,0.055,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_008,SITE_STOLLERY_INSPIRED,mental_health,2026-03-02,0.099,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_009,SITE_STOLLERY_INSPIRED,mental_health,2026-03-09,0.135,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_010,SITE_STOLLERY_INSPIRED,mental_health,2026-03-16,0.099,0.066,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_011,SITE_STOLLERY_INSPIRED,mental_health,2026-03-23,0.171,0.044,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_012,SITE_STOLLERY_INSPIRED,mental_health,2026-03-30,0.102,0.02,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_013,SITE_STOLLERY_INSPIRED,mental_health,2026-04-06,0.09,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_014,SITE_STOLLERY_INSPIRED,mental_health,2026-04-13,0.124,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_015,SITE_STOLLERY_INSPIRED,mental_health,2026-04-20,0.096,0.007,True
SLOT_SITE_STOLLERY_INSPIRED_mental_health_016,SITE_STOLLERY_INSPIRED,mental_health,2026-04-27,0.246,0.021,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_000,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-05,0.08,0.013,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_001,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-12,0.063,0.012,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_002,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-19,0.074,0.039,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_003,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-01-26,0.097,0.02,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_004,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-02,0.107,0.013,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_005,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-09,0.055,0.017,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_006,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-16,0.119,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_007,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-02-23,0.073,0.042,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_008,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-02,0.093,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_009,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-09,0.056,0.025,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_010,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-16,0.103,0.017,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_011,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-23,0.047,0.016,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_012,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-03-30,0.084,0.019,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_013,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-06,0.054,0.069,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_014,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-13,0.107,0.026,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_015,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-20,0.044,0.021,True
SLOT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_016,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-27,0.138,0.015,True
SLOT_SITE_ACH_INSPIRED_respiratory_000,SITE_ACH_INSPIRED,respiratory,2026-01-05,0.108,0.024,True
SLOT_SITE_ACH_INSPIRED_respiratory_001,SITE_ACH_INSPIRED,respiratory,2026-01-12,0.086,0.034,True
SLOT_SITE_ACH_INSPIRED_respiratory_002,SITE_ACH_INSPIRED,respiratory,2026-01-19,0.156,0.033,True
SLOT_SITE_ACH_INSPIRED_respiratory_003,SITE_ACH_INSPIRED,respiratory,2026-01-26,0.063,0.021,True
SLOT_SITE_ACH_INSPIRED_respiratory_004,SITE_ACH_INSPIRED,respiratory,2026-02-02,0.111,0.019,True
SLOT_SITE_ACH_INSPIRED_respiratory_005,SITE_ACH_INSPIRED,respiratory,2026-02-09,0.093,0.042,True
SLOT_SITE_ACH_INSPIRED_respiratory_006,SITE_ACH_INSPIRED,respiratory,2026-02-16,0.074,0.012,True
SLOT_SITE_ACH_INSPIRED_respiratory_007,SITE_ACH_INSPIRED,respiratory,2026-02-23,0.036,0.051,True
SLOT_SITE_ACH_INSPIRED_respiratory_008,SITE_ACH_INSPIRED,respiratory,2026-03-02,0.107,0.089,True
SLOT_SITE_ACH_INSPIRED_respiratory_009,SITE_ACH_INSPIRED,respiratory,2026-03-09,0.111,0.024,True
SLOT_SITE_ACH_INSPIRED_respiratory_010,SITE_ACH_INSPIRED,respiratory,2026-03-16,0.026,0.026,True
SLOT_SITE_ACH_INSPIRED_respiratory_011,SITE_ACH_INSPIRED,respiratory,2026-03-23,0.117,0.024,True
SLOT_SITE_ACH_INSPIRED_respiratory_012,SITE_ACH_INSPIRED,respiratory,2026-03-30,0.058,0.068,True
SLOT_SITE_ACH_INSPIRED_respiratory_013,SITE_ACH_INSPIRED,respiratory,2026-04-06,0.128,0.07,True
SLOT_SITE_ACH_INSPIRED_respiratory_014,SITE_ACH_INSPIRED,respiratory,2026-04-13,0.114,0.013,True
SLOT_SITE_ACH_INSPIRED_respiratory_015,SITE_ACH_INSPIRED,respiratory,2026-04-20,0.114,0.054,True
SLOT_SITE_ACH_INSPIRED_respiratory_016,SITE_ACH_INSPIRED,respiratory,2026-04-27,0.148,0.031,True
SLOT_SITE_ACH_INSPIRED_cardiology_000,SITE_ACH_INSPIRED,cardiology,2026-01-05,0.126,0.052,True
SLOT_SITE_ACH_INSPIRED_cardiology_001,SITE_ACH_INSPIRED,cardiology,2026-01-12,0.095,0.078,True
SLOT_SITE_ACH_INSPIRED_cardiology_002,SITE_ACH_INSPIRED,cardiology,2026-01-19,0.055,0.032,True
SLOT_SITE_ACH_INSPIRED_cardiology_003,SITE_ACH_INSPIRED,cardiology,2026-01-26,0.033,0.053,True
SLOT_SITE_ACH_INSPIRED_cardiology_004,SITE_ACH_INSPIRED,cardiology,2026-02-02,0.068,0.004,True
SLOT_SITE_ACH_INSPIRED_cardiology_005,SITE_ACH_INSPIRED,cardiology,2026-02-09,0.08,0.021,True
SLOT_SITE_ACH_INSPIRED_cardiology_006,SITE_ACH_INSPIRED,cardiology,2026-02-16,0.076,0.014,True
SLOT_SITE_ACH_INSPIRED_cardiology_007,SITE_ACH_INSPIRED,cardiology,2026-02-23,0.121,0.02,True
SLOT_SITE_ACH_INSPIRED_cardiology_008,SITE_ACH_INSPIRED,cardiology,2026-03-02,0.039,0.024,True
SLOT_SITE_ACH_INSPIRED_cardiology_009,SITE_ACH_INSPIRED,cardiology,2026-03-09,0.048,0.036,True
SLOT_SITE_ACH_INSPIRED_cardiology_010,SITE_ACH_INSPIRED,cardiology,2026-03-16,0.05,0.027,True
SLOT_SITE_ACH_INSPIRED_cardiology_011,SITE_ACH_INSPIRED,cardiology,2026-03-23,0.063,0.062,True
SLOT_SITE_ACH_INSPIRED_cardiology_012,SITE_ACH_INSPIRED,cardiology,2026-03-30,0.134,0.04,True
SLOT_SITE_ACH_INSPIRED_cardiology_013,SITE_ACH_INSPIRED,cardiology,2026-04-06,0.071,0.016,True
SLOT_SITE_ACH_INSPIRED_cardiology_014,SITE_ACH_INSPIRED,cardiology,2026-04-13,0.051,0.087,True
SLOT_SITE_ACH_INSPIRED_cardiology_015,SITE_ACH_INSPIRED,cardiology,2026-04-20,0.023,0.048,True
SLOT_SITE_ACH_INSPIRED_cardiology_016,SITE_ACH_INSPIRED,cardiology,2026-04-27,0.043,0.066,True
SLOT_SITE_ACH_INSPIRED_neurology_000,SITE_ACH_INSPIRED,neurology,2026-01-05,0.08,0.027,True
SLOT_SITE_ACH_INSPIRED_neurology_001,SITE_ACH_INSPIRED,neurology,2026-01-12,0.053,0.048,True
SLOT_SITE_ACH_INSPIRED_neurology_002,SITE_ACH_INSPIRED,neurology,2026-01-19,0.088,0.027,True
SLOT_SITE_ACH_INSPIRED_neurology_003,SITE_ACH_INSPIRED,neurology,2026-01-26,0.067,0.03,True
SLOT_SITE_ACH_INSPIRED_neurology_004,SITE_ACH_INSPIRED,neurology,2026-02-02,0.148,0.044,True
SLOT_SITE_ACH_INSPIRED_neurology_005,SITE_ACH_INSPIRED,neurology,2026-02-09,0.088,0.038,True
SLOT_SITE_ACH_INSPIRED_neurology_006,SITE_ACH_INSPIRED,neurology,2026-02-16,0.082,0.033,True
SLOT_SITE_ACH_INSPIRED_neurology_007,SITE_ACH_INSPIRED,neurology,2026-02-23,0.054,0.028,True
SLOT_SITE_ACH_INSPIRED_neurology_008,SITE_ACH_INSPIRED,neurology,2026-03-02,0.033,0.035,True
SLOT_SITE_ACH_INSPIRED_neurology_009,SITE_ACH_INSPIRED,neurology,2026-03-09,0.075,0.046,True
SLOT_SITE_ACH_INSPIRED_neurology_010,SITE_ACH_INSPIRED,neurology,2026-03-16,0.046,0.061,True
SLOT_SITE_ACH_INSPIRED_neurology_011,SITE_ACH_INSPIRED,neurology,2026-03-23,0.075,0.028,True
SLOT_SITE_ACH_INSPIRED_neurology_012,SITE_ACH_INSPIRED,neurology,2026-03-30,0.084,0.027,True
SLOT_SITE_ACH_INSPIRED_neurology_013,SITE_ACH_INSPIRED,neurology,2026-04-06,0.117,0.031,True
SLOT_SITE_ACH_INSPIRED_neurology_014,SITE_ACH_INSPIRED,neurology,2026-04-13,0.098,0.034,True
SLOT_SITE_ACH_INSPIRED_neurology_015,SITE_ACH_INSPIRED,neurology,2026-04-20,0.1,0.028,True
SLOT_SITE_ACH_INSPIRED_neurology_016,SITE_ACH_INSPIRED,neurology,2026-04-27,0.052,0.015,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_000,SITE_ACH_INSPIRED,surgery_followup,2026-01-05,0.083,0.083,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_001,SITE_ACH_INSPIRED,surgery_followup,2026-01-12,0.095,0.059,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_002,SITE_ACH_INSPIRED,surgery_followup,2026-01-19,0.029,0.028,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_003,SITE_ACH_INSPIRED,surgery_followup,2026-01-26,0.064,0.05,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_004,SITE_ACH_INSPIRED,surgery_followup,2026-02-02,0.055,0.019,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_005,SITE_ACH_INSPIRED,surgery_followup,2026-02-09,0.08,0.086,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_006,SITE_ACH_INSPIRED,surgery_followup,2026-02-16,0.068,0.05,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_007,SITE_ACH_INSPIRED,surgery_followup,2026-02-23,0.109,0.036,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_008,SITE_ACH_INSPIRED,surgery_followup,2026-03-02,0.113,0.015,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_009,SITE_ACH_INSPIRED,surgery_followup,2026-03-09,0.12,0.018,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_010,SITE_ACH_INSPIRED,surgery_followup,2026-03-16,0.073,0.015,True
